Country or area/ISO code,Company Code,Contact
Company Name/Address,(carrier code),
Afghanistan / AFG,,
Afghan Telecom Corporation,AFGC00,Mohammed Aslam Popal
"4th Floor Post Parcel Bldg, Mohd Jan Khan Wat",,Tel +93 75 203 0999
KABUL,,Fax +93 20 210 4455
,,E-mail m.aslam@afghantelecom.af
Afghan Wireless Communication Company AWCC,AWCC,Amin Ramin
"AG Bank, Cinema Pamir",,Tel +93 70 877 877
KABUL,,Fax
,,E-mail a.ramin@telsysint.com
Areeba Afghanistan,AFGAR,Jesus Santelices
"House No. 35, Muslim St.",,Tel +93 77 222 1881
"SHARE-NOW, KABUL",,Fax
,,E-mail jsantelices@areeba.com.af
Etisalat Afghanistan,ETI078,Salem Saeed Al Kendi
"Kabul Serena Hotel, Mohd Jan Khan Watt",,Tel +93 79 777 7111
KABUL,,Fax
,,E-mail etisalatafghanistan@gmail.com
Ministry of Communications,MOC,
,,Tel +93 20 210 1105
KABUL,,Fax +93 20 210 1705
,,E-mail telcomdir@af-com-ministry.org
Telecom Development Company Afghanistan Ltd dba Roshan,9379,Samir Satchu
"House #13, Main Street Wazir Akbar Khan",,Tel +93 79 999 9996
KABUL,,Fax
,,E-mail samir.satchu@roshan.af
