Country or area/ISO code,Company Code,Contact
Company Name/Address,(carrier code),
Canada / CAN,,
Bell Canada,SCNM,Sambasivan
160 Elgin Street,,Tel
"OTTAWA, ONTARIO K1G 3J4",,Fax +1 613 781 6454
,,E-mail
North American Gateway Inc.,NAGWAY,Michael J. Warwick
"1 Yonge Street, Suite 1801",,Tel +1 416 364 8046
"Toronto, ONTARIO M5E 1W7",,Fax +1 416 364 9482
,,E-mail
Télécom Québec Inc.,TQC,Isis Thiago
350-C Rue Notre-Dame,,Tel +1 450 799 2924
NOTRE-DAME-DU-BON-CONSEIL J0H 1X0,,Fax +1 450 799 0808
,,E-mail ithiago@guevremont.com
Téléglobe Canada ULC,TGB,Patrick Bibeau
1000 de la Gauchetiére Ouest,,Tel +1 514 868 8442
MONTREAL (Quebec) H3B 4K5,,Fax +1 514 868 7031
,,E-mail
Téléphone Guèvremont Inc.,TGI,Isis Thiago
885 Marquette,,Tel +1 450 799 2924
"STE-ROSALIE, QC J0H 1X0",,Fax +1 450 799 0808
,,E-mail ithiago@guevremont.com
