Country or area/ISO code,Company Code,Contact
Company Name/Address,(carrier code),
China (People's Republic of) / CHN,,
China Mobile Communications Corporation,CMCC,Shao Junming
53A Yibianmennei Avenue,,Tel +86 10 6360 0425
"XUANWU District, BEIJING 100053",,Fax +86 10 6360 0145
,,E-mail
China Netcom,CNC,Zhiwei Yang
"35 Financial Street, Xicheng District",,Tel +86 10 8809 3588
BEIJING 100032,,Fax +86 10 8809 1442
,,E-mail
China Railway Communication Co. Ltd.,CRC,Zhao Yuehai
"21F Yuetan Mansion, Xicheng District",,Tel +86 10 6324 3412
BEIJING 100045,,Fax +86 10 6349 0646
,,E-mail
China Telecommunications Corporation (China,CT,Gu Wenjie
Telecom),,
"33, ErLong Road, Xi Cheng District",,Tel +86 10 6602 7150
BEIJING 100032,,Fax +86 10 6602 7219
,,E-mail
China United Teleommunications Corporation,CHU,Zou Xin
(UNICOM),,
18 Jianguomennei Avenue,,Tel +86 10 6518 1800
BEIJING 100005,,Fax +86 10 6518 1800
,,E-mail
Ji Tong Network Communications Co. Ltd.,JITONG,Yao Lu Kang
88 West Changan Avenue,,Tel +86 10 8391 3115
BEIJING 100031,,Fax +86 10 8391 3140
,,E-mail
