Country or area/ISO code,Company Code,Contact
Company Name/Address,(carrier code),
Ecuador / ECU,,
Empresa Estatal de Telecomunicaciones,EMETEL,Hugo Aulestia R.
(EMETEL-ECUADOR),,
Avs. 6 de Diciembre y Colón,,Tel +593 2 220 0250
"PO Box 1701 3066, QUITO",,Fax +593 2 256 1306
,,E-mail
Empresa Pública Municipal de,ETAPA,Ing. Boris Piedra Iglesias
Telecomunicaciones Agua Potable y Alcantarillo,,
Benigno Malo No 7-78 y Marisal Sucre,,Tel +593 7 842842
297 CUENCA,,Fax +593 7 840022
,,E-mail etapadtt@etapa.com.ec
