Country or area/ISO code,Company Code,Contact
Company Name/Address,(carrier code),
Egypt (Arab Republic of) / EGY,,
Alkan Communication,ALKAN,Ahmed Farid
8 El-Gazaer St.,,Tel +20 2 2516 9722
"New Maadi 11435, CAIRO",,Fax +20 2 2516 9560
,,E-mail asfarid@alkan.net
Egyptian Space Communication Co. S.A.E.,ESC,Osama El-Kholi
"41, Degla Street",,Tel +20 2 2336 2154
"El-Mohandseen, GIZA",,Fax +20 2 2336 3574
,,E-mail esc@link.net
Telecom Egypt,TE,Seif Mounib
"Smart Village, PO Box 22",,Tel +20 2 3131 6579
GIZA,,Fax
,,E-mail seif.mounib@telecomegypt.com
The Egyptian Company for Mobile Service,MOBEG,Hashem Zohair
1191 Corniche El Nil,,Tel +20 12 242 1420
"BULAG, CAIRO",,Fax +20 12 320 0032
,,E-mail hzohair@mobinil.net
Vodafone Egypt Telecommunications S.A.E.,VFEG,Mahmoud El-Mogy
"7A Corniche El-Nil, Maadi",,Tel +20 2 2529 2016
CAIRO 11431,,Fax +20 2 2529 2050
,,E-mail mahmoud.elmogy@vodafone.com.eg
