Country or area/ISO code,Company Code,Contact
Company Name/Address,(carrier code),
Equatorial Guinea (Republic of) / GNQ,,
Guinea Ecuatorial de Comunicaciones Sociedad Anónima,GECOM,Sra Maria del Mar Bindang Enem
"Dos Torres - Planta No. 2, Parques de Africa",,Tel +240 2226 91010
MALABO (B.N.),,Fax
,,E-mail mbindang@hotmail.com
Guinea Ecuatorial de Telecomunicaciones Sociedad,GETESA,Sr. Daniel Dauchat
Anónima,,
"Calle_Rey Bonkoro No 27, Apartado 494",,Tel +240 3330 93316
MALABO,,Fax +240 3330 94000
,,E-mail
