Country or area/ISO code,Company Code,Contact
Company Name/Address,(carrier code),
Finland / FIN,,
Elisa Group,ELISA,Petri Pietiläinen
Itämerenkatu 1,,Tel +358 9 6955 0238
FIN-00180 HELSINKI,,Fax +358 9 6955 0301
,,E-mail petri.pietilainen@elisa.fi
Jippi Group Oyj,JIPPII,Kai Keinänen
Annankatu 44 A,,Tel +358 456 700 100
FIN - 00100 HELSINKI,,Fax +358 3 4102 4155
,,E-mail kai.keinanen@jippiigroup.com
OY Cubio Communications Ltd.,CUBIO,Ilya Goldberg
Vilhonvuorenkatu 11A,,Tel +358 9 6896 67685
FIN - 00500 HELSINKI,,Fax +358 9 689 6766
,,E-mail ilya.goldberg@cubio.net
OY Finland Tele2 Ab,TELE2,Gunnar Gustafsson
Paciuksenkanru 29,,Tel +46 8 5626 4857
00270 HELSINKI,,Fax +46 8 5626 2427
,,E-mail
Oy Nevatel Ltd.,NEVA,Ben Mellin
Sörnäisten Rantatie 27 A,,Tel +358 9 4247 0010
FIN-00500 HELSINKI,,Fax +358 9 4247 0020
,,E-mail ben.mellin@nevatel.fi
RSLCom Findland Oy,RSLFIN,Auvo Somppi
Metsänneidonkjuja 12,,Tel +358 9 4242 00
FIN - 02130 ESPOO,,Fax +358 9 4242 2280
,,E-mail auvo.somppi@rslcom.fi
Sonera Corporation,SONERA,Tuomo Kokkila
Teollisuuskatu 15,,Tel +358 2040 2525
FIN-00510 HELSINKI,,Fax +358 2040 2811
,,E-mail
Song Networks Oy,SONGN,Reijo Ryytty
PO Box 100,,Tel +358 30 994 4650
FIN-00094 SONG,,Fax +358 30 994 4699
,,E-mail reijo.ryytty@songnetworks.fi
Teldamatic Oy,TELDA,Arkady Zlobin
Uudenmaanmkatu 12 A 10,,Tel +358 19 450 370
FIN - 05800 HYVINKAA,,Fax +358 19 453 530
,,E-mail zlobin.arkady@kolumbus.fi
