Country or area/ISO code,Company Code,Contact
Company Name/Address,(carrier code),
France / FRA,,
3U Telecom,3UTL,Armin Lambrich
"12,Avenue de l'Arche",,Tel +33 1 46 91 89 24
F-92419 COURBEVOIE CEDEX,,Fax +33 1 46 91 88 00
,,E-mail
9 Télécom Réseau,9TEL,Christophe Roy
"1, Square Chaptal",,Tel +33 1 58 63 14 65
F-92309 LEVALLOIS,,Fax +33 1 58 63 10 44
,,E-mail
ADP Télécom,ADPT,B. Nahoum
"Roissy Pôle Le Dôme 4, rue de la Hay",,Tel +33 1 70 03 85 00
F-95732 ROISSY CDG CEDEX,,Fax +33 1 70 03 85 01
,,E-mail
Afripa Telecom,AFRI,Muriel Bruyas
"38, rue des Jeûneurs",,Tel +33 1 55 34 73 73
F-75002 PARIS,,Fax +33 1 55 34 73 74
,,E-mail
Altitude,ALTI,Jean Paul Riviere
"1, rue François Perroux",,Tel +33 2 35 60 66 06
F-76130 MONT-SAINT-AIGNAN,,Fax
,,E-mail
Atos Multimedia,ATOS,André-Marie Regnaut
Z.I. Rue de la Pointe,,Tel +33 3 20 60 79 79
F-59113 SECLIN,,Fax +33 3 20 32 52 22
,,E-mail
Bouygues Telecom,BOUY,Benoît Bertin
"20, Quai du Point du Jour",,Tel +33 1 41 09 52 71
F-92640 BOULOGNE BILLANCOURT,,Fax +33 1 58 17 97 92
,,E-mail
Cable & Wireless France,CAWI,Florence Updegraff
"Tour Neptune 20, Place de la Seine",,Tel +33 1 55 70 12 00
F-92086 PARIS LA DEFENCE CEDEX,,Fax +33 1 55 70 12 01
,,E-mail
Cegetel,CGTL,Eric Avizou
"1, Place Carpeaux",,Tel +33 1 71 08 85 28
F-92915 PARIS LA DEFENSE CEDEX,,Fax +33 1 71 07 64 60
,,E-mail
Colt Télécommunications France,COLT,Jean-Baptiste Gagliardi
"25, Rue de Chazelles",,Tel +33 1 70 99 55 00
F-75017 PARIS,,Fax +33 1 70 99 55 01
,,E-mail
,,
Completel,COMP,Jérôme de Vitry d'Avaucourt
"9-11, alléedDe l'Arche",,Tel +33 1 72 92 20 00
F-92671 COURBEVOIE CEDEX,,Fax +33 1 72 92 26 27
,,E-mail
Dolphin Telecom,DOLF,Christophe Renaud
13-15 rue Jeanne Braconnier,,Tel +33 1 40 83 30 00
F-92360 MEUDON-LA-FORET,,Fax +33 1 40 83 30 30
,,E-mail
E*Messages Wireless Informations Services,EMES,Hugues Ferreboeuf
12 rue du Docteur Audigier,,Tel +33 1 39 23 48 48
F-78150 LE CHESNAY,,Fax +33 1 39 23 48 82
,,E-mail
Easynet,EASY,Denis Planat
"69, rue Beaubourg",,Tel +33 1 44 54 70 00
F-75003 PARIS,,Fax +33 1 44 54 70 01
,,E-mail
Equant Telecommunications,EQNT,Laurent Barbe
"190, avenue de France",,Tel +33 1 46 46 20 00
F-75013 PARIS,,Fax +33 1 46 46 90 01
,,E-mail
Estel,ESTL,Alain Sgrazzutti
"26c, Boulevard du Président Wilson, BP 318",,Tel +33 3 90 22 40 80
F-67008 STRASBOURG CEDEX 9,,Fax +33 3 69 22 40 08
,,E-mail
Firstmark Communications France,FIRS,François Jaclot
"28, rue Cambaceres",,Tel +33 1 55 27 68 00
F-75008 PARIS,,Fax +33 1 55 27 68 10
,,E-mail
France Citevision,FCTV,Roger Doire
"5, rue Léonard de Vinci",,Tel +33 2 38 25 04 40
F-45000 ORLEANS LA SOURCE,,Fax +33 2 38 25 04 41
,,E-mail
France Telecom,FRTE,Jean Daniel Lallemand
"6, Place d'Alleray",,Tel +33 1 44 44 00 25
F- 75505 PARIS CEDEX 15,,Fax +33 1 44 44 03 45
,,E-mail
Free Telecom,FREE,Cyril Poidatz
"24, rue Emile Ménier",,Tel +33 1 56 26 20 00
F-75116 PARIS,,Fax +33 1 56 26 03 11
,,E-mail
,,
Infomobile,INFM,Philippe Montagner
