Country or area/ISO code,Company Code,Contact
Company Name/Address,(carrier code),
Germany (Federal Republic of) / DEU,,
[netzquadrat] Gesellschaft für Telekommunikation mbH,NQ,Ulf Hermann
Gladbacher Strasse 74,,Tel: +49 211 3020 3393
40219 DUSSELDORF,,Fax: +49 211 6355 5593
,,E-mail: herrmann@netzquadrat.de
1&1 Internet AG,1UND1,André Rochlitzer
Elgendorfer Strasse 57,,Tel: +49 721 91374 4654
56410 MONTABAUR,,E-mail: andre.rochlitzer@1und1.de
1click2 Internet Services GmbH,1C2ISG,Mr. Stefan Damms
Keplerstrasse 17,,Tel: +49 40 23517332
22763 Hamburg,,Fax: +49 40 23517329
,,E-mail: support@1click2.de
1N Telecom GmbH,DEU1N,Mr Philipp Hoffmann
Prinzenallee 7,,E-mail: p.hoffmann@1n.de
40549 DUESSELDORF,,
3U TELECOM GmbH,3UNET,Mr Sascha Rosenhaeger
Frauenbergstrasse 31 - 39,,Tel: +49 6421 999 2202
35039 MARBURG,,Fax: +49 6421 999 1400
,,E-mail: portierungen@3u.net
42com Telecommunication GmbH,42COM,Mr Thomas Reinig
Strasse der Pariser Kommune 12 - 16,,Tel: +49 30 340 605 908
10243 BERLIN,,Fax: +49 30 340 605 998
,,E-mail: portierung@42com.com
A+U Baumann OHG,KBBAUU,Mr Stephen Engel
Ludwig-Tjoma-Str. 20,,Tel: +49 921 5161 - 180
95448 BAYREUTH,,Fax: +49 921 5161 - 101
,,E-mail: info@kabel-baumann.de
Accom Gesellschaft für,ACCOM,R.A. Wilfried Boms
Telekommunikations netze und,,Tel: +49 241 91852 26
dienstleistungen mbH u Co KG,,Fax: +49 241 91852 99
Grüner Weg 100,,E-mail: wilfried.boms@a1-net.de
D-52070 AACHEN,,
Ackermann & Pfetzing GbR,APWDSL,Mr. Marco Ackermann
Stoelzinger Strasse 52,,Tel: + 49 5663 9469000
34286 Spangenberg,,Fax: + 49 5663 9469009
,,E-mail: info@ap-wdsl.de
ACO Computerservice GmbH,ACO,Mr. Klaus Peter von Friedeburg
Angersbachstrasse 14,,Tel: + 49 561 98303 0
34127 KASSEL,,Fax: + 49 561 98303 46
,,E-mail: info@aco.de
ADDIX Internet Services GmbH,ADDIX,Tel: +49 431 7755 150
Kaistrasse 101,,Fax: +49 431 7755 105
24114 KIEL,,E-mail: portierung@addix.net
AEP Plückhahn Netze GmbH,AEP18B,Mrs Rohde
Breite Strasse 18 b,,Tel: +49 38362 77720
17438 WOLGAST,,Fax: +49 38362 77787
,,E-mail: vertrieb@aepservice.de
AGILIScom AG,AGILIS,Mrs Sandy Burghardt
Unter den Platanen 24,,Tel: +49 3381 8043696
14774 BRANDENBURG A. D. HAVEL,,Fax: +49 3381 8043629
,,E-mail: portierung@agiliscom.de
Airdata AG,AIRNET,Martin Anrdt
Hauptstaetter Strasse 58,,Tel: +49 711 96438 100
70178 STUTTGART,,Fax: +49 711 96438 506
,,E-mail: arndt@airdata.ag
AirIT Services GmbH,AIRIT,Mr Mario Kraemer
Gebaeude 663,,Tel.: +49 6543 507310
55483 HAHN-FLUGHAFEN,,Fax: +49 6543 507333
,,E-mail : mario.kraemer@airit.de
AJE Consulting GmbH & Co.KG,AJE1DE,Mr Thorsten Schwabenland
Neustrasse 12,,Tel: +49 2672 9364 0
56754 ROES,,Fax: +49 2672 9364 930
,,E-mail: ts@aje.de
amabo GmbH,AMABO,Mr Aiko Marschner
Essener Strasse 2 - 24,,Tel.: +49 211 90096463
46047 OBERHAUSEN,,Fax: +49 211 90096463
,,E-mail: aiko.marschner@amabo.de
amisol GmbH,AMISOL,Mrs. Marlene Blenk
Marktstrasse 13,,Tel: +49 8365 791 4000
