Country or area/ISO code,Company Code,Contact
Company Name/Address,(carrier code),
Haiti (Republic of) / HTI,,
Communication Cellulaire d'Haiti S.A. (COMCEL),COM001,Robin Padberg
"113 Rue Faubert, C.P. 16117",,Tel +509 3441 0572
"PETION VILLE, PORT-AU-PRINCE",,Fax
,,E-mail rpadberg@comcelhaiti.com
Télécommunications d'Haiti S.A.M.,TELECO,
Angle Ave. Martin Luther king et rue Fernand,,Tel +509 2241 3500
"C.P. 814, PORT-AU-PRINCE",,Fax +509 2245 1169
,,E-mail telecohaiti@teleco.ht
"Unigestion Holding S.A., Digicel Haiti",DCHT,Donal Connor
"Angles Rues Clerveaux & Darguin, Immeuble H.",,Tel +1 246 262 7003
PETION-VILLE,,Fax +509 2256 7758
,,E-mail donald.connor@digicelgroup.com
