Country or area/ISO code,Company Code,Contact
Company Name/Address,(carrier code),
"Hong Kong, China / HKG",,
China Broadband Communications (Hong Kong),CBCCOM,Kathy Fung
"Unit 206, 2/F Mirror Tower",,Tel +852 2730 0933
"61 Mody Road, KOWLOON",,Fax +852 2739 0860
,,E-mail kathy.fung@cbccom.net
China Digital Satnet Ltd.,CSN999,Tommy Hou
17/F China Overseas Building,,Tel +852 2866 9299
139 Hennessy Road,,Fax +852 2528 2009
,,E-mail hphou@chinasatnet.net
Eastar Technology Ltd.,EASTAR,Michael Wong
6/F World-Wide House,,Tel +852 2908 8086
19 Des Voeux Road Central,,Fax +852 2525 6998
,,E-mail michael.wong@hld.com
Galaxy Satellite Broadcasting Ltd.,GALAXY,Danny Cheung
Clear Water Bay Road,,Tel +852 2335 3406
KOWLOON,,Fax +852 2358 3227
,,E-mail danny@tvbihk.com
HKNet-Teligent Co. Ltd.,HKNTLG,Harry Choi
"34/F East Tower, Shun Tak Centre",,Tel +852 2102 8138
"168-200 CONNAUGHT ROAD, CENTRAL",,Fax +852 2192 8101
,,E-mail harry@cct.com.hk
Hong Kong Broadband Network Ltd.,HKBN,Tin Lun Or
193 Prince Edward Road West,,Tel +852 2199 8288
KOWLOON,,Fax +852 2199 8224
,,E-mail tinlun@ctihk.com
Hong Kong Cable Television Ltd.,ICABLE,Garmen K.Y. Chan
"Cable TV Tower, 9 Hoi Shing Road",,Tel +852 2112 6254
TSUEN WAN,,Fax +852 2118 0027
,,E-mail gchan@cabletv.com.hk
Hongkong CSL Ltd.,HKTCSL,Agnes Lee
"PO Box 9896 39/F, Hong Kong Telecom Tower",,Tel +852 2883 0610
"979 King's Road, Quarry Bay",,Fax +852 2962 5291
,,E-mail agnes.yw.lee@cwhkt.com
Hutchison Global Crossing Ltd.,HCL,Dennis Lui
"22/F Hutchison House, 10 Harcourt Road",,Tel +852 2128 6832
Hongkong,,Fax +852 2123 1288
,,E-mail dennisl@hthk.com
Hutchison Telecommunications Technology Investment,HCAHK,Steven Chan
Ltd.,,
18 Container Port Road South,,Tel +852 2128 6333
"KWAI CHUNG, N.T.",,Fax +852 2621 5696
,,E-mail stevenc@hutchca.com
,,
Hutchison Telephone Company Ltd.,HTCL,Dennis Lui
"22/F Hutchison House, 10 Harcourt Road",,Tel +852 2128 6832
Hongkong,,Fax +852 2123 1288
,,E-mail dennisl@hthk.com
Mandarin Communications Ltd.,SUNDAY,Frankie Wong
"13/F Natwest Tower, Times Square",,Tel +852 2113 8328
CAUSEWAY BAY,,Fax +852 2113 8399
,,E-mail frankie.wong@Sunday.com
New World PCS Ltd.,NWPCS,Albert Wong
"17/F Chevalier, 8 Wang Hoi Road",,Tel +852 2123 8822
"Kowloon Bay, KOWLOON",,Fax +852 2133 2688
,,E-mail awong@newworldtel.com
New World Telecommunication Ltd.,NWT,Alan Lui
"17/F Chevalier, 8 Wang Hoi Road",,Tel +852 2123 7275
"Kowloon Bay, KOWLOON",,Fax +852 2133 2333
,,E-mail alui@newworldtel.com
NTT Com Asia Ltd.,NTTHK,Yasushi Kikuchi
"13/F Admiralty Centre, Tower 1",,Tel +852 2862 1965
18 Harcourt Road,,Fax +852 2521 0081
,,E-mail kikuchi@ntt.com.hk
Pacific Century Matrix (HK) Ltd.,PCM,Wendy Lui
"38/F Citibank Tower, Citibank Plaza",,Tel +852 2514 8699
"3 Garden Road, Central",,Fax +852 2524 4375
,,E-mail wendylui@pcg-group.com
PCCW-HKT,CWHKTC,
PO Box 9896 39/F Hong kong Telecom Tower,,Tel +852 2888 6993
979 King's Road QUARRY BAY,,Fax +852 2824 2131
,,E-mail
Peoples Telephone Company Ltd.,PTC,Jim Pratt
8 Kwai Cheong Road,,Tel +852 2945 8888
"KWAI CHUNG, N.T.",,Fax +852 2425 5742
,,E-mail jpratt@peoplesphone.com.hk
PSINET Hong Kong Ltd.,PSIXHK,Eric Ho
69-71 King Yip Street,,Tel +852 2331 8123
KWUN TONG,,Fax +852 2795 1262
,,E-mail ericho@psinet.com.hk
Reach Networks Hong Kong Ltd,CWHKTI,Agnes Lee
"PO Box 9896 39/F, Hongkong Telecom Tower",,Tel +852 2883 0610
"979 King's Road, Quarry Bay",,Fax +852 2962 5291
,,E-mail agnes.yw.lee@cwhkt.com
,,
Sky Citi-Link International Telecom Ltd.,SCLITL,Alvin Lai
11 Dai Hei Street,,Tel +852 2666 2294
TAI PO N.T.,,Fax +852 2664 0717
,,E-mail alvinlai@palhk.com
SmarTone Broadband Services Ltd.,HKSBS,Stephen Chau
"8/F World Trade Centre, 280 Glouchester Road",,Tel +852 2235 6882
CAUSEWAY BAY,,Fax +852 2880 2685
,,E-mail stephen_chau@hksmartone.com
SmartTone Mobile Communications Ltd.,HKSMC,Stephen Chau
280 Gloucester Road,,Tel +852 2880 2718
CAUSEWAY BAY,,Fax +852 2880 2685
,,E-mail stephen_chau@hksmartone.com
Teleglobe International Hong Kong Ltd.,TGB,Caiphas Ling
"Suite 2508, Two Pacific Place",,Tel +852 2530 8555
89 Queensway,,Fax +852 2918 9501
,,E-mail caiphas.ling@teleglobe.com
Telhope Information Development Co. Ltd.,TIDCL,Alan Chan
9 Sheung Yuet Road,,Tel +852 2331 8747
KOWLOON BAY,,Fax +852 2900 0150
,,E-mail achan@telhope.com
Wharf T&T Ltd.,NEWTT,Agnes Tan
"Harbour City, Canton Road",,Tel +852 2112 2672
"Tsimshatsui, KOWLOON",,Fax +852 2112 2680
,,E-mail
