Country or area/ISO code,Company Code,Contact
Company Name/Address,(carrier code),
Israel (State of) / ISR,,
012 Golden Lines,GL,Moshe Vengel
25 Hasivim Street,,Tel +972 3 927 4330
49170 PETACH TIKVA,,Fax +972 3 927 4535
,,E-mail moshev@012.net
Barak I.T.C.,BARAK,Yossi Wellingstein
"15, Hamelacha Street, Park Cible",,Tel +972 3 900 1039
48091 ROSH HA'AYIN,,Fax +972 3 900 1599
,,E-mail
"BEZEQ, International Ltd.",BEZEQ,Michael Tcherniak
"40 Hashacham Street, PO Box 7097",,Tel +972 3 925 7669
49170 PETACH TIKVA,,Fax +972 3 925 7362
,,E-mail michael@bezeqint.co.il
