Country or area/ISO code,Company Code,Contact
Company Name/Address,(carrier code),
Kenya (Republic of) / KEN,,
Kencell Communications Ltd.,KEKEN,Clare Ruto
PO Box 75146,,Tel +254 20 6901 2023
00200 NAIROBI,,Fax +254 20 6901 2031
,,E-mail claire.ruto@kencell.co.ke
Safaricom Kenya Ltd.,SFL,Vitalis Olunga
PO Box 46352,,Tel +254 20 3272 3111
00100 NAIROBI,,Fax +254 20 3272 3298
,,E-mail polunga@safaricom.co.ke
Telekom Kenya Ltd.,TKL,John Waweru
PO Box 30301,,Tel +254 20 3203 2433
NAIROBI 00100,,Fax +254 20 251 071
,,E-mail mdtelkom@telkom.co.ke
