Country or area/ISO code,Company Code,Contact
Company Name/Address,(carrier code),
Kyrgyz Republic / KGZ,,
Bitel Ltd.,BITEL,Andrew V. Titov
"2a, Tolstoy street",,Tel +996 312 587911
720031 BISHKEK-31,,Fax +996 312 621445
,,E-mail
"Katel, Joint venture",KATEL,Salavat T. Iskakov
123 Suynbaev Street,,Tel +996 312 680132
720011 BISHKEK-11,,Fax +996 312 298382
,,E-mail
"Kyrghyz Telecom, JSC",KGZKT,Mambetoliev Marat M
Prospect Chuy 96,,Tel +996 312 621616
720000 BISHKEK,,Fax +996 312 286345
,,E-mail
