Country or area/ISO code,Company Code,Contact
Company Name/Address,(carrier code),
Latvia (Republic of) / LVA,,
Air Navigation Service (ANS),ANST,Tina Zavgorodnaja
Kr. Barona Street 20/22,,Tel +371 6720 7842
LV - 1011 RIGA,,Fax +371 6720 7895
,,E-mail ans@ans.lv
CSC Telecom,CSCLV,Sergei Buzak
Lacplesa Street 41,,Tel +371 6720 1650
LV-1011 RIGA,,Fax +371 6720 1651
,,E-mail sergei@csctelecom.lv
D-Com Ltd.,DCOMLV,Sergejs Deineko
Braslas Street 20,,Tel +371 6781 9241
LV-1035 RIGA,,Fax +371 6781 9250
,,E-mail info@dcom.lv
Finors Telekom Ltd.,FINOR,
Bikernieku Street 32a,,Tel +371 6779 0468
LV-1006 RIGA,,Fax +371 6753 9213
,,E-mail finors@mits.lv
Joint Stock Company «Latvian railway»,LDZ,Vasily Vinokurov
Gogola Street 3,,Tel +371 6583 4600
LV - 1547 RIGA,,Fax +371 6583 3838
,,E-mail vinokurovs@infra.ldz.lv
Lattelekom SIA,LVTL,Gatis Galvins
Valnu Street 30,,Tel +371 6705 5421
LV-1050 RIGA,,Fax +371 6705 5245
,,E-mail gatis.galvins@lattelekom.lv
Lattelenet,LTN,Kristians Melins
Kurzernes Prospects 3,,Tel +371 6706 0901
LV - 1067 RIGA,,Fax +371 6706 0905
,,E-mail kristians@lattelenet.lv
Latvenergo,ENERGO,Voldemars Plavoks
Ventsplis Street 56/58,,Tel +371 6732 8909
LV - 1046 RIGA Brieza 12,,Fax +371 6732 8908
,,E-mail voldemars.plavoks@latvenergo.lv
"Latvian Mobile Telephone, LMT",LMT,Normunds Laposko
Ropazu 6,,Tel +371 6777 3322
LV - 1039 RIGA,,Fax +371 6777 3353
,,E-mail normunds.laposko@lmt.lv
Master Telecom SIA,MTC,Vladimir Skudnov
Brivibas Street 214m,,Tel +371 6766 3333
LV-1039 RIGA,,Fax +371 6766 3724
,,E-mail master@mtctelco.net
,,
Optinet Ltd.,OPT,
Noliktavas Street 5,,Tel +371 6732 6435
LV-1010 RIGA,,Fax +371 6732 6439
,,E-mail info@optinet.lv
Optron Ltd.,OPTRON,
"Kundzinsalas 10 line, 10a",,Tel +371 6714 9440
LV-1005 RIGA,,Fax +371 6714 9441
,,E-mail info@optron.lv
Radiokoms,RK,
Lielvardes Street 8a,,Tel +371 6733 3355
LV - 1006 RIGA,,Fax +371 6782 0013
,,E-mail radiokoms@radiokoms.lv
Sigis Ltd.,SIG001,
Puskina Street 19-18,,Tel +371 6723 8016
LV-1050 RIGA,,Fax +371 6779 2016
,,E-mail info@sigis.lv
Sotus Communications SIA,SOTUS,Vladimir Skudnov
Salamandras Street 1,,Tel +371 2207 0000
RIGA LV 1024,,Fax +371 6752 6591
,,E-mail sotus@sotus.net
Tele2 Telecom Ltd.,RIGB,
Kurzemes prospect 3,,Tel +371 6706 0069
LV-1067 RIGA,,Fax +371 6706 0176
,,E-mail
Telecom Baltija,TELBAL,Vladimir Torchik
Vairogu Street 32A,,Tel +371 6787 3420
LV - 1039 RIGA,,Fax +371 6787 3520
,,E-mail vladimir@baltia.net
Teledialogs,TDL,Maris Evalds
Mukusalas Street 41,,Tel +371 6762 9299
LV-1004 RIGA,,Fax +371 6706 0212
,,E-mail info@teledialogs.lv
Telekomunikãciju Grupa,TKG,Girts Meijers
Akademijas Laukums 1,,Tel +371 6709 9777
LV - 1050 RIGA,,Fax +371 6709 9788
,,E-mail girts@telecomgroup.lv
Telenets Ltd.,LVTLN,
"Juras 1, Stopnu parish",,Tel +371 6706 2877
LV-2130 RIGA district,,Fax +371 6703 5006
,,E-mail office@telenets.lv
,,
Unistars Ltd.,USTARS,Ilana Rutmane
Brivibas Street 97,,Tel +371 6704 3203
LV-1001 RIGA,,Fax +371 6704 3256
,,E-mail ilana@unistars.lv
