Country or area/ISO code,Company Code,Contact
Company Name/Address,(carrier code),
Liechtenstein (Principality of) / LIE,,
Cubic AG,FLCUBI,Markus Wanger
Auelestrasse 45,,Tel +423 237 5232
9490 VADUZ,,Fax +423 237 5233
,,E-mail markus.wanger@wanger.net
IP Communications GmbH,FLIPCO,Gerald Wirtl
Honauerstrasse 2,,Tel +43 699 1710 0036
4020 INZ,,Fax +43 732 7733 7211
,,E-mail gwirtl@ahooly.com
mobilkom Liechtenstein AG,FLMOBI,Johannes Feuerstein
Aeulestrasse 20,,Tel +423 377 0415
9490 VADUZ,,Fax +423 377 0499
,,E-mail j.feuerstein@mobilkom.li
Orange (Liechtenstein) AG,FLORAN,Robert Eberle
Neugruet 7,,Tel +423 388 0924
9496 BALZERS,,Fax +423 388 0907
,,E-mail project@orange.li
,,
Telecom Liechtenstein AG,FLTLI,Frank Boller
Schaanerstrasse 1,,Tel: +423 235 5600
9490 VADUZ,,Fax: +423 235 5663
,,E-mail: frank.boller@telecom.li
