Country or area/ISO code,Company Code,Contact
Company Name/Address,(carrier code),
Lithuania (Republic of) / LTU,,
Comliet UAB,VNOCOM,Georgij Kazak
Architektu Street 146,,Tel +370 6829 0001
LT-2049 VILNIUS,,Fax +370 6829 0010
,,E-mail
Lintel UAB,LINTEL,"Monkevicius, Technical Dir."
Laisves Av. 67,,Tel +370 3 771 2546
KAUNAS 3000,,Fax +370 3 770 8730
,,E-mail
Lithuanian Telecom,LT,Remigijus Seris
Savanoru Av. 28,,Tel +370 5 222 6691
LT-2727 VILNIUS,,Fax +370 5 222 6665
,,E-mail
Omnitel,OMNITL,Audrius Rukanskas
25 T. Sevcenkos,,Tel +370 5 222 0896
2600 VILNIUS,,Fax +370 5 223 1313
,,E-mail
