Country or area/ISO code,Company Code,Contact
Company Name/Address,(carrier code),
New Zealand / NZL,,
Chorus Ltd,CHORUS,Richard Read
"Level 8 Datacom House, 68-86 Jervois Quay",,Tel +64 4 802 9236
WELLINGTON,,Fax +64 4 472 4795
,,E-mail richard.read@chorus.co.nz
Compass Communications Ltd.,COMPNZ,Mark Frater
P.O. Box 2533,,Tel
AUCKLAND,,Fax
,,E-mail mark.frater@compass.net.nz
NZ Communications,NZCOMS,David Rauscher
"P.O. Box 8355, Symonds Street",,Tel
AUCKLAND 1150,,Fax
,,E-mail david.rauscher@nzcomms.co.nz
Telecom New Zealand Ltd.,TNZ,Stuart Goodin
P.O. Box 293,,Tel
WELLINGTON,,Fax
,,E-mail stuart.goodin@telecom.co.nz
Telstra Clear,CLEAR,Richard Bateman
Private Bag 92143,,Tel
AUCKLAND,,Fax
,,E-mail richard.bateman@team.telstraclear.co.nz
Vodafone New Zealand Ltd.,VNZL,David Stone
Private Bag 9261,,Tel
AUCKLAND,,Fax
,,E-mail d.stone@vodafone.co.nz
WorldxChange Communications,WAXSNZ,Paul Clarkin
P.O. Box 3296,,Tel
AUCKLAND,,Fax
,,E-mail pclarkin@wxc.co.nz
