Country or area/ISO code,Company Code,Contact
Company Name/Address,(carrier code),
Philippines (Republic of the) / PHL,,
Capitol Wireless Inc. (CAPWIRE),CWIMLA,Maureen V Santiago
"6/F Dolmar Gold Tower, 107 Carlos Palanca Jr.",,Tel +63 2 818 6694
"Legaspi Village, MAKATI CITY 1229",,Fax +63 2 894 1142
,,E-mail
"Digital Telecommunications Phillipines, Inc.",DGTL,Btty William S Paminman
110 E Rodriguez JR Ave. Bagumbayan,,Tel +63 2 635 6142
1110 QUEZON CITY,,Fax +63 2 635 6142
,,E-mail paminmanb@ditsi.com.ph
Eastern Telecommunications Philippines Inc.,ETPI,Jose P. Roxas SVP EAD
"Telecoms Plaza, 316 Sen. G. puyat Ave. Ext",,Tel +63 2 816 0001
"Makati, METRO MANILA",,Fax +63 2 816 4322
,,E-mail
"Easycall Communications Phils., Inc.",ECPI,Edgardo T. Abalos
418 Arayat Cor. Libertad Sts.,,Tel +63 2 533 5107
"MANDALUYONG CITY, METRO MANILA",,Fax +63 2 533 4390
,,E-mail eta@easycall.net.ph
Ermita Electronics Inc.,ERMITA,Roberto V. Carandang
Unit 2503 - East tower Philippine Stock Exch.,,Tel +63 2 636 0303
"PASIG CITY, METRO MANILA",,Fax +63 2 634 6388
,,E-mail roberto_carandang@yahoo.com
Express Telecommunications Co. Inc. (Extelcom),P973,Louie B. Sapiera
"11th Floor Octagon Bldg, San Miguel Avenue",,Tel +63 2 634 0001
"Ortigas Center, PASIG CITY",,Fax +63 2 635 5428
,,E-mail
Globe Telecom Inc. (GMCR),GLOBE,Teresa V. Kong
"Globe Telecom plaza, Pioneer Corner Madison",,Tel +63 2 730 2808
1552 MANDALUYONG CITY,,Fax +63 2 739 3344
,,E-mail kongtv@globetel.com.ph
International Communications Corporation,ICC,Sherry Ann Supelana
"5/F Benpres Bldg, Meralco Corner",,Tel +63 2 633 3375
"PASIG, METRO MANILA",,Fax +63 2 633 3382
,,E-mail
"Oceanic Wireless Network, Inc.",OWNI,Eng. Ernesto O. Santos
"3/F Electra Bldg, 115-117 Esteban St. Legaspi",,Tel +63 2 815 3753
MAKATI CITY,,Fax +63 2 815 3750
,,E-mail
Philippine Communications Satellite Corporation,PCSAT,Benito A. Tolentino
"11/F Telecoms Plaza Bldg, 316 Sen.Gil Puyat A",,Tel +63 2 815 9610
1200 MAKATI CITY,,Fax +63 2 817 4131
,,E-mail pcsattpo@info.com.ph
Philippine Global Communications Inc. (Philcom),PGCI,Antonio A. Ong
8755 Paseo de Roxas,,Tel +63 2 816 2851
"Makati, METRO MANILA 3117",,Fax +63 2 818 9720
,,E-mail
Philippine Long Distance Telephone Company,PLDT,Alfredo B. Carrera
"PO Box 2148, Ramon Cojuangco Bldg.",,Tel +63 2 817 4600
MAKATI CITY 0721,,Fax +63 2 894 3521
,,E-mail gnlim@pldt.com.ph
Smart Communications Inc.,SMART,Orlando B. Vea
"11/F Rufino Pacific Towers, Ayala Ave.",,Tel +63 2 811 0211
MAKATI CITY,,Fax +63 2 892 4844
,,E-mail
