Country or area/ISO code,Company Code,Contact
Company Name/Address,(carrier code),
Reunion (French Department of) / REU,,
Cegetel La Reunion,CGRU,Jean Pierre Haggai
"21, rue Pierre Aubert ZI du Chaudron",,Tel +262 262 48 19 70
F-97490 SAINTE-CLOTILDE,,Fax +262 262 48 19 71
,,E-mail
Orange Reunion,ORRU,Christophe Jan
"35 Boulevard du Chaudron, BP 7431",,Tel +262 262 20 67 67
F-97490 SAINTE CLOTILDE,,Fax +262 262 20 66 19
,,E-mail
Société Réunionnaise du Radiotéléphone,SRR,Jean Pierre Haggai
21 Rue Pierre Aubert BP 17,,Tel +262 262 48 19 70
F-97408 SAINT DENIS,,Fax +262 262 48 19 71
,,E-mail
XTS Network Ocean Indien,XTIN,Pascal Bono
7 rue du Mont Valérien,,Tel +33 1 55 49 38 38
F-92150 SURESNES,,Fax +33 1 55 49 38 39
,,E-mail
