Country or area/ISO code,Company Code,Contact
Company Name/Address,(carrier code),
Romania / ROM,,
S.C. AccessNet International S.A.,ANET,Niculae Plesa
"BD. Micrea Eliade 18, Sector 1",,Tel +40 21 231 8606
012015 BUCURESTI,,Fax +40 21 231 8661
,,E-mail office@accessnet.ro
S.C. Adisam Telecom S.A.,ADISAM,Gheorghe Nica
"Calea 13 Septembrie 116, Sector 5",,Tel +40 21 330 9211
050728 BUCURESTI,,Fax +40 21 331 0551
,,E-mail gnica@adisam.com
S.C. Advanced Business Solutions International srl,ABSI,Marian Wagner
"Calea Mosilor 256, Sector 2",,Tel +40 21 212 1727
020886 BUCURESTI,,Fax +40 21 211 6779
,,E-mail office@absi.ro
S.C. Aietes Telecom Galati Filiala Tulcea srl,AITEL,Gabriel Jinga
Str. Progresului 32,,Tel +40 236 493 400
820009 TULCEA,,Fax +40 236 498 808
,,E-mail gabi@aietestelecom.ro
S.C. Alizee s.r.l.,ALIZEE,Daniel Arghiriade
Calea Aradului 1,,Tel +40 256 306 330
300088 TIMISOARA,,Fax +40 256 306 339
,,E-mail daniel.arghiriade@alizee.ro
S.C. Astral Telecom S.A.,ASTRAL,Dinu Malacopol
Constantin Brancusi 147,,Tel +40 264 441 265
400458 CLUJ-NAPOCA,,Fax +40 264 441 261
,,E-mail office@astral.ro
S.C. Atlas Telecom Network Romania s.r.l.,ATLAS,Marinoiu Dan
"Piata Ferdinand I, 2",,Tel +40 21 403 4900
"ORADEA, jud. BIHOR 410021",,Fax +40 21 403 4910
,,E-mail d.marinoiu@atlastelecom.ro
S.C. Danubius Telecom S.A.,DANUS,Valentin Urziceanu
"Str. Armoniei 5, Sector 2",,Tel +40 21 312 8379
020724 BUCURESTI,,Fax +40 21 312 9005
,,E-mail danubius@k.ro
S.C. Dial Telecom s.r.l.,VIVA,Florin Furdui
"Str. Dr. Staicovici 2, Sector 5",,Tel +40 21 402 6111
050558 BUCURESTI,,Fax +40 21 402 6112
,,E-mail florin.furdui@dial.telecom.ro
S.C. Easycomm s.r.l.,EZCOM,Alexandru Longin Popescu
"Calea Vacaresti 280, Secotrul 4",,Tel +40 21 302 9684
040063 BUCURESTI,,Fax +40 21 302 9685
,,E-mail alexandru.popescu@easycomm.ro
,,
S.C. Euroweb Romania S.A.,EWRO,Claudiu Amortoaie
"Lipscani 102, Corp A, Sector 3",,Tel +40 21 307 6543
030039 BUCURESTI,,Fax +40 21 307 6544
,,E-mail claudiu.amortoaie@ew.ro
S.C. Globtel Internet srl,GLOBTL,Burcescu Dragos
Str. Bobalna 2,,Tel +40 244 511 858
"100330 Ploiesti, jud. Prahova",,Fax +40 244 512 425
,,E-mail office@globtel.ro
S.C. Idilis S.A.,IDILIS,Tiberiu Gindu
Calea Dorobantilor 85-87 Sector 1,,Tel +40 21 201 5600
010558 BUCURESTI,,Fax
,,E-mail office@idilis.net
S.C. Ines Group S.R.L.,INES,Szavuj Iosif
Str. Virgil Madgearu 2-6,,Tel +40 21 232 2112
014135 BUCURESTI,,Fax +40 21 232 3461
,,E-mail iosif.szavuj@ines.ro
S.C. International Communications Systems srl,ICS,Mihail Faca
Str. Rahovei 13,,Tel +40 722 409 306
"100028 PLOIE TI, jud. Prahova",,Fax +40 244 519 812
,,E-mail office@ics-telecom.ro
S.C. Interpoint srl,IPOINT,Ehsan Ahmadi
"Str. Negru Voda 2, Sector 3",,Tel +40 21 312 3015
030774 BUCURESTI,,Fax +40 21 315 8584
,,E-mail office@interpoint.ro
S.C. Iristel Romania srl,IRIS,Mario Pavoni
"Calea 13 Septembrie No. 90, Sector 5",,Tel +40 21 403 3341
050726 BUCURESTI,,Fax +40 21 403 3342
,,E-mail office@iristel.ro
S.C. Mediasat S.A.,MSAT,Roxana Patrascu
"Sr. Stroescu Vasile Vasilievic 11 A, Sector 2",,Tel +40 21 205 2606
021373 BUCURESTI,,Fax +40 21 205 2605
,,E-mail roxana.patrascu@mediasat.ro
S.C. Necc Telecom Romania srl,NECC,Cosmin Gheara
"Bd. Unirii 64, Sector 3",,Tel +40 21 326 1305
030834 BUCURESTI,,Fax
,,E-mail cosmin.gheara@necc.us
S.C. Net-Connect Internet s.r.l.,NETCON,Nela Emilia Ispas
"Str. Valea Calugareasca 1, Sector 6",,Tel +40 21 726 4162
061721 BUCURESTI,,Fax +40 21 778 1914
,,E-mail emilia.ispas@netconnect.ro
,,
S.C. Netmaster Communications s.r.l.,NETMR,Alexandru Albu
"Bdul. Banu Manta 18, Sector 1",,Tel +40 21 569 0001
011226 BUCURESTI,,Fax +40 21 569 0009
,,E-mail alexandru.albu@smartcall.ro
S.C. Netpoint srl,NTP,Tiberiu Duma
"Str. Dr. Panait Iatropol 20, Sector 5",,Tel +40 21 411 6277
050538 BUCURESTI,,Fax +40 21 411 6285
,,E-mail tiberiu.duma@netpoint.ro
S.C. Nevi Cons srl,NEVI,Victor Popescu
"Spatarului 1A, Sectorul 2",,Tel +40 744 647 572
020771 BUCURESTI,,Fax +40 21 423 2685
,,E-mail popescu@canad.ro
S.C. Nobel Romania srl,NBL18,Razvan Ilievici
"Str. Vasile Lascar 144-146, Sector 2",,Tel +40 21 211 0185
020511 BUCURESTI,,Fax +40 21 211 0485
,,E-mail razvan.ilievici@nobel.ro
S.C. Orange Romania S.A.,ORANGE,Dan Nicola
"Europe House, 51-53 Lascar Catargiu Bvd.",,Tel +40 21 203 7005
"Sector 1, 010665 BUCURESTI",,Fax +40 21 203 7008
,,E-mail dan.nicola@orange.ro
S.C. Parlatel s.r.l.,PARLA,Dan Boabes
"Bd. Unirii 27, Sector 5",,Tel +40 21 302 6700
040103 BUCURESTI,,Fax +40 21 302 6701
,,E-mail office@parlatel.ro
S.C. Pcnet Data Network S.A.,PCNET,Bogdan Tudor
"Spl. Unirii 10, Sector 4",,Tel +40 723 251 884
040033 BUCURESTI,,Fax +40 21 331 7999
,,E-mail bogdan@pcnet.ro
S.C. Plug IT International srl,R10040,Angelo Canali
"Str. Elanului 21, Sector 1",,Tel +40 21 312 4811
013263 BUCURESTI,,Fax +40 21 312 4810
,,E-mail angelo.canali@plugit.net
S.C. Romania Data Systems S.A.,RDS,Dragos Spataru
"Str. Dr. Staicovici 73 - 75, Sector 5",,Tel +40 21 301 0850
050557 BUCURESTI,,Fax +40 21 301 0851
,,E-mail dragos.spataru@rdsnet.ro
S.C. ROMTELECOM S.A.,ROMTEL,Nicu Dumitru
"Str. Garlei nr 1B, Sector 1",,Tel +40 21 400 5391
013721 BUCURESTI,,Fax +40 21 400 5641
,,E-mail nicu.dumitru@romtelecom.ro
,,
S.C. Telcor Communications S.R.L.,1023T,Serban Igau
"Str. Caderea Bastiliei 17, Sector 1",,Tel +40 21 313 6723
010612 BUCURESTI,,Fax +40 21 313 6723
,,E-mail office@telcor.ro
S.C. Telemobil S.A.,ZAPP,Bogdan Bocsan
