Country or area/ISO code,Company Code,Contact
Company Name/Address,(carrier code),
Russian Federation / RUS,,
Multiregional Transit Teleom Open Joint Stock Company,MTTRUS,Yury Avanesov
22 Marksistskaya Street,,Tel +7 495 789 3151
MOSCOW 109147,,Fax +7 495 789 3963
,,E-mail mttinfor@mtt.rus
Nakhodka Telecom,NAKTEL,"Victor Shpak, GM"
"Primorsky Region, Nakhimovskaya 30",,Tel +7 504 915 1701
NAKHODKA,,Fax +7 504 915 1616
,,E-mail shpak@nht.ru
Rostelecom,ROSTEL,"Nikolay Korolev, D.G."
"5, Delegatskaya Street",,Tel +7 495 292 7127
103091 MOSCOW,,Fax +7 495 924 7062
,,E-mail
