Country or area/ISO code,Company Code,Contact
Company Name/Address,(carrier code),
Slovak Republic / SVK,,
Aliatel Slovakia,ALISK,Vladimir Galovic
Ruzová dolina 6,,Tel +421 2 5022 1544
82108 BRATISLAVA,,Fax +421 2 5022 1547
,,E-mail vladimir.galovic@aliatel.sk
Amtel Slovensko s.r.o.,AMTEL,Ing. Martin Felgr
Jozefa Hagaru 9,,Tel +421 2 49 214 170
831 51 BRATISLAVA,,Fax +421 2 49 214 114
,,E-mail martin.felgr@amtel.sk
"BT Slovakia, s.r.o.",BTSK01,Stefan Koczka
Kopcianska 24,,Tel +421 2 6828 6602
851 01 BRATISLAVA,,Fax +421 2 6828 6611
,,E-mail office@btnet.sk
"Connspec Telekom, s.r.o.",CONNSK,Milos Budaj
Kutlikova 17,,Tel +421 2 6820 7511
85102 BRATISLAVA,,Fax +421 2 6820 7519
,,E-mail bratislava@connspec.net
"Dial Telecom, a.s.",DIALSK,Jozef Beták
Plynárenská 1,,Tel +421 2 5825 2111
82109 BRATISLAVA,,Fax +421 2 5825 2300
,,E-mail sales@dial.sk
"Energotel, a.s.",AT1002,L'ubomir Simko
Sumavská 38,,Tel +421 2 5020 1700
82108 BRATISLAVA,,Fax +421 2 5564 2411
,,E-mail simko@energotel.sk
"eTel Slovensko, s.r.o.",ETELSK,Peter Hlavaty
Leskova 9/A,,Tel +421 2 5720 1811
81104 BRATISLAVA,,Fax +421 2 5720 1821
,,E-mail hotline@etel.sk
"EuroTel Bratislava, a.s.",SKETBA,Augustín Hujsa
Vajnorská 100/A,,Tel +421 2 4955 4585
83103 BRATISLAVA,,Fax +421 2 4955 4044
,,E-mail hujsaa@eurotel.sk
"GlobalTel Slovakia, s.r.o.",GTEL,Radovan Mihalik
Prokopova 24,,Tel +421 2 5720 3453
85101 BRATISLAVA,,Fax +421 2 5720 3401
,,E-mail radovan.mihalik@globaltel.sk
"GTS Slovakia, s.r.o.",GTSISK,Martin Holly
Liscie udolie 5,,Tel +421 2 5778 1111
84104 BRATISLAVA,,Fax +421 2 5778 1117
,,E-mail gts@gtsgroup.sk
Slovak Republic / SVK,,
"M.B.C., s.r.o.",MBC,Marcel Vass
Mickiewiczova 2,,Tel +421 2 5293 2910
81107 BRATISLAVA,,Fax +421 2 5293 2913
,,E-mail marcel-vass@mbc.sk
"Nextra, s.r.o.",NEXTSK,Julius Varga
Plynarenska 1,,Tel +421 2 5822 8111
82471 BRATISLAVA,,Fax +421 2 5822 8222
,,E-mail official@nextra.sk
"Orange Slovensko, a.s.",ORASK,Jan Miko
Prievozská 6/A,,Tel +421 2 5851 2236
82109 BRATISLAVA,,Fax +421 2 5851 2346
,,E-mail jan.miko@orange.sk
"PosTel, a.s.",PTGP19,Tibor Nagy
Kvacalova 53,,Tel +421 2 5020 3165
82108 BRATISLAVA,,Fax +421 2 5020 3198
,,E-mail tnagy@postel.sk
Slovenské Telekomunikácie a.s. (Slovak Telecom),SKTELI,Dusan Volcko
Námestie Slobody 6,,Tel +421 2 5249 8745
81762 BRATISLAVA,,Fax +421 2 5249 5155
,,E-mail dusan.volcko@st.sk
"U.S. Steel Kosice, s.r.o.",USSKSC,Klará Mosná
Vstupny areal,,Tel +421 5 5673 4545
04454 KOSICE,,Fax +421 5 5673 3131
,,E-mail kmosna@usske.sk
Via PVT,SLVNET,Peter Macaj
Zahradnicka 151,,Tel +421 2 5020 2202
82108 BRATISLAVA,,Fax +421 2 5020 2222
,,E-mail info@slovanet.sk
"Voipac, s.r.o.",VOIPAC,Slavomir Zat'ko
J. Král'a 3,,Tel +421 3 2658 0409
91101 TRENCIN,,Fax +421 3 2653 8533
,,E-mail zatko@voipac.com
ZSR-zeleznicne telekomunikacie,SKZSR,Ladislav Ondrus
Klemensova 8,,Tel +421 2 5058 5060
81361 BRATISLAVA,,Fax +421 2 5058 5509
,,E-mail zt@zsr.sk
