Country or area/ISO code,Company Code,Contact
Company Name/Address,(carrier code),
South Africa (Republic of) / ZAF,,
Mobile Telephone Networks (PTY) Ltd.,MTN,Graham De Vries
Private Bag X9955,,Tel +27 11 301 6000
SANDTON 2146,,Fax +27 11 784 8800
,,E-mail
Telkom SA Ltd.,TELKOM,L.R.J. Erasmus
Private Bag X74,,Tel +27 12 311 1623
PRETORIA 0001,,Fax +27 12 311 4001
,,E-mail
Vodacom (PTY) Ltd.,VCOM,Gary Robinson
Private Bag X9904,,Tel +27 11 653 5041
SANDTON 2146,,Fax +27 11 663 5941
,,E-mail robinsga@vodacom.co.za
