Country or area/ISO code,Company Code,Contact
Company Name/Address,(carrier code),
Sri Lanka (Democratic Socialist Republic of) / LKA,,
Lanka Bell (PVT) Ltd.,LANKAB,Sirinivasa Bartholomeuz
"6th floor, Mukthar Plaza Bldg No. 78",,Tel +94 11 532 2309
"Grandpass Road, COLOMBO 14",,Fax +94 11 533 9934
,,E-mail sbath@mail.lankabell.com
Sri Lanka Telecom,SLT,Shuhei Anan
"PO Box 503, Lotus Road",,Tel +94 11 233 5010
COLOMBO 1,,Fax +94 11 242 4800
,,E-mail s-anan@sltnet.lk
Suntel (Private) Ltd.,SUNTEL,Mahinda Ramasundara
"PO Box 1194, 110 Sir James Peiris Mawatha",,Tel +94 11 474 7750
COLOMBO 2,,Fax +94 11 471 0001
,,E-mail mahinda@suntel.lk
