Country or area/ISO code,Company Code,Contact
Company Name/Address,(carrier code),
United Kingdom of Great Britain and Northern Ireland / GBR,,
24 Seven Communications Ltd,24S,David Samuel
"1 Victoria Court, Bank Square, Morley",,Tel +44 8000 247247
LEEDS LS27 9SE,,Fax +44 8000 247248
,,E-mail info@24seven.co.uk
2-Sell-It Ltd,2SI,Ray Barry Harrow
"10 Masons Avenue, Harrow",,Tel +44 8702 735548
"MIDDLESEX, HA3 5AP",,Fax +44 8452 735548
,,E-mail raybarryharrow@aol.com
Aggregated Telecom Ltd,8EL372,Phil O'Keeffe
"2nd Floor Sovereign House, Vastern Road",,Tel +44 118 955 0800
READING RG1 8BT,,Fax +44 118 995 0801
,,E-mail phil.okeeffe@8el.com
Alban Telecom Ltd,ALBTEL,James Goddard
"John Dickinson enterprise, London Rd, Hermel",,Tel +44 8450 654321
"HEMPSTEAD, HERTFORDSHIRE, HP3 9QU",,Fax +44 8450 654321
,,E-mail info@albantelecom.co.uk
Andrews & Arnold Ltd,AA,Adrian Kennard
"Enterprise Court, Down Mill Road",,Tel +44 5555 400000
BRACKNELL RG12 1QS,,Fax +44 5555 400001
,,E-mail itu@aaisp.net.uk
Arbinet-thexchange Ltd,ARBXUK,Robert Feeney
12/18 Paul Street,,Tel +44 20 7338 1064
LONDON EC2A 4JH,,Fax +44 20 7375 1854
,,E-mail rfeeney@arbinet.com
Atlas Interactive Grioup Ltd,ATLINT,Debora Goodrich
47B Welbeck Street,,Tel +44 7258 8734
LONDON W1G 9XA,,Fax +44 7258 8704
,,E-mail d.goodrich@atlasinteractivegroup.com
Bestway Communications Ltd.,TN,Mat Ibaar
"338 Lee Valley Technopark, Ashley Road",,Tel +44 208 880 4131
LONDON N17 9LN,,Fax +44 208 880 4129
,,E-mail mibaar@btopenworld.com
Bethlehem Technologies London Ltd,BTLUK,Colin Bingham
"Lifeline House, Suite 301, 80 Clifton Street",,Tel +44 20 7655 4486
LONDON EC2A 4HB,,Fax +44 20 7375 3825
,,E-mail colin@btl-intl.com
BNS Telecom Ltd (Monus Telecom),BNS001,Neville Whitter
"Princess Way, Low Prudhoe",,Tel +44 20 7456 1600
"NORTHUMBERLAND, NE42 6NJ",,Fax +44 20 7456 1646
,,E-mail neville.whitter@bnsplc.com
,,
British Telecommunications plc (British Telecom),BTPLC,John Baughn
"Liverpool Road, St. Albans",,Tel
"HERTFORDSHIRE, AL1 3UL",,Fax
,,E-mail john.baughn@bt.com
Business service Provision Company Ltd,BSP134,Anthony Amissah
77 Bourne Hill,,Tel +44 20 8586 1370
LONDON N13 4LU,,Fax +44 20 8586 1370
,,E-mail anthony.amissah@bspco.net
Buzz Networks Ltd,BUZZ01,Terry McMahon
"Becketts Wharf, Kingston Upon Thames",,Tel +44 20 8614 0700
LONDON KT1 4ER,,Fax +44 20 8614 0700
,,E-mail terrymcmahon@buzznetworks.co.uk
C2C Ltd,MORFEO,
