Country or area/ISO code,Company Code,Contact
Company Name/Address,(carrier code),
Argentine Republic / ARG,,
Telecom Argentina S.A.,TECO,Robert Grippai
Avda del Libertador 498 Piso 26,,Tel +54 11 4968 1571
1001 BUENOS AIRES,,Fax +54 11 4968 1072
,,E-mail
Telefónica de Argentina S.A.,TASA,Eduardo Gabelloni
"Av. de Mayo 701, Piso 23",,Tel +54 11 4328 7741
1083 BUENOS AIRES,,Fax +54 11 4326 2821
,,E-mail
Telefónica Larga Distancia de Argentina S.A.,TLDA,Hector Arman
Presidente Perón PB 1286,,Tel +54 11 4370 1522
1038 BUENOS AIRES,,Fax +54 11 4382 7509
,,E-mail harman@tlda.com.ar
