Country or area/ISO code,Company Code,Contact
Company Name/Address,(carrier code),
Australia / AUS,,
AAPT Ltd,AAPT,Tony Chamberlain
"AAP Centre, 9 Lang Street",,Tel +61 2 9377 7167
SYDNEY NSW 2001,,Fax +61 2 9377 7781
,,E-mail
AARNET Pty. Ltd.,AARNET,George McLaughlin
GPO Box 1142,,Tel +61 2 6276 6900
CANBERRA ACT 2601,,Fax +61 2 6276 6911
,,E-mail
ACN 088 889 230 Ltd.,NCABLE,Garth Freeman
10 Ugerim Crescent,,Tel +61 3 5339 0400
MITCHELL PARK VIC 3355,,Fax +61 3 5338 1508
,,E-mail
Agile Pty. Ltd.,AGILE,John Lindsay
31 York St.,,Tel +61 8 8232 1234
"ADELAIDE, SA 5000",,Fax +61 8 8232 4567
,,E-mail
Airnet Commercial Australia Ltd.,AIRNET,Peter Karidis
149 Currie Street,,Tel +61 8 8211 8211
"ADELAIDE, SA 5000",,Fax +61 8 8211 9333
,,E-mail
AMCOM Telecommunications,AMCOM,Wally Borovac
43 King Edward Road,,Tel +61 8 9244 6000
OSBORNE PARK,,Fax +61 8 9244 6001
,,E-mail
Australia-Japan Cable (Australia) Ltd.,AJC,John McKendry
"Cedar House, 41 Cedar Avenue",,Tel +1 441 296 1007
HAMILTON - BERMUDA,,Fax +1 441 296 3519
,,E-mail
Broadband Access Pty. Ltd.,BBA,Mark D Bernard
10 Monaro Road,,Tel +61 3 9662 9078
KOOYONG 3144,,Fax +61 3 9921 7177
,,E-mail
Cable & Telecoms Pty Ltd.,CT,John Prichard
PO Box 740,,Tel +61 8 9368 4988
"SOUTH PERTH, WA 6951",,Fax +61 8 9368 4588
,,E-mail
Central Exchange Ltd.,CXL,William Johnson
"Level 14 The Forest Centre, 221 St. Georges T",,Tel +61 8 9214 9797
"PERTH, WA 6000",,Fax +61 8 9322 1515
,,E-mail
,,
Chariot Internet Ltd.,CTI,Gary Walker
"Level 1, 214 Greenhill Road",,Tel +61 3 5332 2140
"EASTWOOD, SA 5063",,Fax +61 3 5331 9909
,,E-mail
Chime Communicatiions Pty Ltd.,CHIME,Andrew Milner
Locked Bag 16,,Tel +61 8 9221 8891
"CLOISTERS SQUARE, WA 6850",,Fax +61 8 9221 8898
,,E-mail
eCom Communications Pty. Ltd.,ECOMAU,Stephen Conlon
"c/o Bates Cosgrave, 506 Miller Street",,Tel +61 2 9332 1863
COMNERAY NSW 2062,,Fax +61 2 9332 1863
,,E-mail
Eftel Pty Ltd.,EFTRAD,Jurgen Stehert
"Level 8, 250 St. Georges Terrace",,Tel +61 8 9481 4999
"PERTH, WA 6000",,Fax +61 8 9322 4924
,,E-mail
ETSA Utilities,ETSA,Richard Sibly
1 Anzac Highway,,Tel +61 8 8404 5012
"KESWICK, SA 5035",,Fax +61 8 8404 4145
,,E-mail
Global Dial Pty Ltd.,GDL,Kevin Clark
278 Stirling Highway,,Tel +61 8 9383 1800
"CLAREMONT, WA 6014",,Fax +61 8 9383 2818
,,E-mail
Hutchison 3G Australia Pty. Ltd.,H3GA,Brian Currie
504 Pacific HWY,,Tel +61 2 9964 4660
ST. LEONARDS NSW 2065,,Fax +61 2 9964 4811
,,E-mail
Hutchison Telecommunications (Australia) Ltd.,HTAL,Brian Currie
504 Pacific HWY,,Tel +61 2 9964 4660
ST. LEONARDS NSW 2065,,Fax +61 2 9964 4811
,,E-mail
Ipera Communications Pty. Ltd.,IPERA,Bruce Jones
9 Denison Street,,Tel +61 2 7940 6666
NEWCASTLE WEST NSW 2302,,Fax +61 2 7940 6633
,,E-mail
Macquarie Corporate Telecommunications Network,MCT,Aidan Tudehope
Carrier Services,,
"Level 6, 33 Bligh Street",,Tel +61 2 9201 0000
"SYDNEY, NSW 3000",,Fax +61 2 9201 0088
,,E-mail
,,
Macrocom Pty Ltd.,FLOCOM,B Blundell
"level 1, 541 Kent street",,Tel +61 2 9263 5021
"SYDNEY, NSW 2000",,Fax +61 2 9264 9868
,,E-mail
MCI Worldcom Australia pty Ltd.,WCOMAU,Mary-Jane Salier
203 Pacific Highway,,Tel +61 2 9434 5418
ST. LEONARDS NSW 2065,,Fax +61 2 9434 5960
,,E-mail
National Power Services,NPS,Russell Dunstan Biginess
188 Cheltenham Road,,Tel +61 3 9238 3878
KEYSBOROUGH 3173,,Fax +61 3 9238 3890
,,E-mail
Netcare Telecommunications Pty Ltd.,NETCAR,Kevin Humphreys
5 Belmont Avenue,,Tel +61 438 884 032
"PERTH, WA 6104",,Fax +61 8 9477 6777
,,E-mail
Nextgen Networks Pty Ltd.,NEXGEN,Paul Sacks
12 Help Street,,Tel +61 2 9414 3500
"CHATSWOOD, NSW 2067",,Fax +61 2 9414 3550
,,E-mail
Ntl Telecommunications Pty. Ltd.,NTLA,David Green
"Level 2, 655 Pacific Highway",,Tel +61 2 8425 4666
ST. LEONARDS NSW 2065,,Fax +61 2 8425 4641
,,E-mail
Opentec Pty Ltd.,OPENTE,Alan Conder
"Unit A2, 6-8 Lyon Park Road",,Tel +61 2 9878 1744
"NORTH RYDE, NSW 2113",,Fax +61 2 9878 1755
,,E-mail
Optus Ltd.,OPTUS,Rob Gillan
PO Box 1,,Tel +61 2 9342 8170
SYDNEY NSW 2059,,Fax +61 2 9342 7766
,,E-mail
Oz TelecomPty Ltd.,OZTEL,Stephen Scott
"Level 1, 130 Bourke Street",,Tel +61 3 9663 8177
"MELBOURNE, VIC 3000",,Fax +61 3 9663 8939
,,E-mail
Pahth Telecommunications Ltd.,PAHTH,Peter Hanley
1195 Hay Street,,Tel +61 8 9321 9321
"WEST PORTH, WA 6872",,Fax +61 8 9321 2689
,,E-mail
,,
Powertel Ltd.,PWRTEL,Paul Teng
"Level 11, 55 Clarence Street",,Tel +61 2 8264 3835
"SYDNEY, NSW 2000",,Fax +61 2 8264 4588
,,E-mail
Qala (Australia) Pty. Ltd.,QALA,Sam Rahme
"Level 3, 15 Castleraegh Street",,Tel +61 2 8226 9911
"SYDNEY, NSW 2000",,Fax +61 2 8226 9900
,,E-mail
Reach Networks Australia Pty Ltd,REACH,Wayne Grundy
"Floor 7, 363 Oxford Street",,Tel +61 2 8289 0010
"PADDINGTON, NSW 2021",,Fax +61 2 9339 6982
,,E-mail wayne.grundy@reach.com
RequestDSL Pty Ltd.,REQEST,Gary Mc Laren
"Level 12, 461 Bourke Street",,Tel +61 3 8628 2740
"MELBOURNE, VIC 3000",,Fax +61 3 9670 6867
,,E-mail
SCCL Australia Ltd.,SCCLA,Ernie Wan
"Suite 781, No. 48 Par-La-Ville Road",,Tel +1 441 296 5659
HAMILTON HM11 - BERMUDA,,Fax +1 441 296 5929
,,E-mail
Snowy Net Pty Ltd.,SNOWYN,Adrian Blake
26B Bombala Street,,Tel +61 2 6452 5555
"COOMA, NSW 2630",,Fax +61 2 6452 4317
,,E-mail adrian@snowy.net.au
Soul Pattinson Telecommunications Pty. Ltd.,SPT,Scott MacGregor
11-17 Mosbri Crescent,,Tel +61 2 4929 2933
NEWCASTLE NSW 2300,,Fax +61 2 4929 6111
,,E-mail
Telecasters Communications Pty Ltd.,TCPL,Andrew Werro
"Level 8, 1 Elizabeth Plaza",,Tel +61 2 9922 1011
"NORTH SYDNEY, NSW 2060",,Fax +61 2 9922 1033
,,E-mail
Telstra Corporation Ltd.,TELSTR,John Pellicano
PO Box 7000,,Tel +61 2 9287 5678
SYDNEY NSW 2001,,Fax +61 2 9287 5617
,,E-mail
TransACT Capital Communications Pty. Ltd.,TRANSA,Dianne Evans
"Level 3, TransACT House, 470 Northbourne Aven",,Tel +61 2 6229 8089
