Country or area/ISO code,Company Code,Contact
Company Name/Address,(carrier code),
Austria / AUT,,
CyberTron Austrian Digital Telekom GmbH,CYBER,Christian Forstner
Davidgasse 94,,Tel +43 1 919 29
A-1100 WIEN,,Fax +43 1 919 29 1209
,,E-mail
Etel Austria AG,ETELAT,Fritz Wildt
"Technopark Thomas A., Edison Str. 1",,Tel +43 2682 998 98 5423
A-7000 EISENSTADT,,Fax
,,E-mail wildt@etel.at
European Telecom International AG,ET1007,Markus Kollermann
Floragasse 7,,Tel +43 1 5060 1200
A-1040 WIEN,,Fax +43 1 5060 1999 200
,,E-mail mkollermann@europeantelecom.at
FaciliCom International GmbH,FCI,Ing. Franz Bader
Helligenstadter Lande 27c,,Tel +43 1 360 19 1120
A-1190 WIEN,,Fax +43 1 360 19 2222
,,E-mail franz.bader@eu.facilicom.com
Max.Mobil Telekommunikation Service GmbH,MAX676,Christian Walzel
Kelsenstrasse 5-7,,Tel +43 1 79585 6448
A-1030 WIEN,,Fax +43 1 79585 6535
,,E-mail christian.walzel@maxmobil.at
MCN Millennium Communication Network,MCNAT,Andreas Harti
Handelskai 94-96,,Tel +43 1 20700 1010
A-1200 WIEN,,Fax +43 1 20700 1099
,,E-mail andreas.hartl@mcn-tower.com
Mobilkom Austria AG & Co. Kg.,AUTMK,Dr Werner Wiedermann
Obere Donaustrasse 29,,Tel +43 1 33161 6000
A-1020 WIEN,,Fax +43 1 33161 6009
,,E-mail w.wiedermann@mobilkom.at
RSLCom Austria AG,RSLCOM,Peter Ziegelwanger
Technopark Eisenstadt,,Tel +43 2682 716 5250
A-7000 EISENSTADT,,Fax +43 2682 716 5279
,,E-mail pz@rslcom.at
Tele2 UTA Telecommunication GmbH,UTA,Werner Augustin
Donau-City-Str. 11,,Tel +43 1 9009 3426
A-1220 WIEN,,Fax +43 1 9009 93426
,,E-mail werner.augustin@uta.at
Telekom Austria Aktiengesellschaft,AUTTA,Martin Fröhlich
Postgasse 8,,Tel +43 59059 1 16002
A - 1010 WIEN,,Fax +43 59059 1 16009
,,E-mail martin.froehlich@telekom.at
,,
Well.Com Data Highway Burgenland GmbH,WELLCO,Wolfgang Eder
Technologiezentrum,,Tel +43 2682 704 3345
A-7000 EISENSTADT,,Fax +43 2682 704 3314
,,E-mail w.eder@wellcom.at
