Country or area/ISO code,Company Code,Contact
Company Name/Address,(carrier code),
Belgium / BEL,,
BELGACOM société anonyme de droit public,BGACOM,Eric Thonnard
Boulevard du Roi Albert II 27,,Tel +32 2 202 7707
B-1020 BRUXELLES,,Fax +32 2 202 7989
,,E-mail eric.thonnard@belgacom.be
B-Telecom,B,Ir. Philippe Claes
"Avenue de la Porte de Hal, 40",,Tel +32 2 528 3610
B-1060 BRUXELLES,,Fax +32 2 528 3719
,,E-mail philippe.claes@b-rail.be
Codenet,CDN,Bart Pauwels
Avenue Ariane 7,,Tel +32 2 473 7488
B-1200 BRUXELLES,,Fax +32 2 473 7950
,,E-mail bart.pauwels@codenet.be
FaciliCom International Belgium,FCI,Elisa Hau
Excelsiorlaan 89,,Tel +32 2 401 1700
B-1930 ZAVENTEM,,Fax +32 2 401 1701
,,E-mail
Ministerie v/d Vlaamse Geneenschep,FLA,Willy Frans
Electiciteit en Mechanica Antwerpen,,Tel +32 3 224 6600
"Copernicuslaan 1, 2018 ANTWERPEN",,Fax +32 3 224 6605
,,E-mail willy.frans@lin.vlaanderen.be
Telenet Operaties NV,TNTBE,Philippe Ronsse
Liersesteerwerg 4,,Tel +32 15 333 561
B-2800 MECHELEN,,Fax +32 15 333 999
,,E-mail philippe.ronsse@telenet.be
WorldXchange Communications BVBA,WXCBEL,Barry Inskip
Lozenberg 18,,Tel +32 2 711 0349
B-1932 ST-STEVENS-WOLUWE,,Fax +32 2 721 3332
,,E-mail barry.inskip@worldxchange.com
