Country or area/ISO code,Company Code,Contact
Company Name/Address,(carrier code),
Croatia (Republic of) / HRV,,
Croatian Telecom (HT - Hrvatske ,HT,Ivan Car
telecomunikacije dd.),,
Andrige Hebranga 32-34,,Tel+385 1 491 2300
HR-10001 ZAGREB,,Fax+385 1 491 2333
,,E-mailivan.car@ht.hr
T-Mobile Croatia LLC,TMHR,Bernard Kovacevic
Ulica Grada Vukovara 23,,Tel+385 1 498 2094
HR-10000 ZAGREB,,Fax+385 1 498 2044
,,E-mailbernard.kovacevic@t-mobile.hr
VIP-NET d.o.o,VIPNET,Ing. Smiljan Corkovic
Iblerov Trg 10,,Tel+385 1 469 1122
10 000 ZAGREB,,Fax+385 1 469 1109
,,E-mails.corkovic@vipnet.hr
