Country or area/ISO code,Company Code,Contact
Company Name/Address,(carrier code),
Cuba / CUB,,
Empresa de Radiocomunicación y Radiodifusión,RADCUB,Jorge Martinez Abreu
de Cuba,,
Ave Independencia y 19 de Mayo,,Tel +53 7 818023
LA HABANA 10600,,Fax +53 7 338301
,,E-mail raddg@ip.etecsa.cu
Empresa de Telecomunicaciones Celulares del,CCOM,Waldo Reboredo Arroyo
Caribe S.A. (C-COM),,
"Calle 8 No.811, Apto 1, 5ta y 5ta B, Playa",,Tel +53 7 241640
LA HABANA 10300,,Fax +53 7 241640
,,E-mail wreboredo@cubacel.cu
Empresa de Telecomunicaciones de Cuba S.A.,ETECSA,José A. Fernández Martinez
Apartado Postal 628,,Tel +53 7 604848
LA HABANA 10200,,Fax +53 7 335144
,,E-mail jfernandez@pdcia.tel.etecsa.cu
Movitel S.A.,MVTEL,Ascla Fernández Lorenzo
"Ave 49 No 2837 esquina 49A, Rpto Kohly Playa",,Tel +53 7 244263
LA HABANA 11300,,Fax +53 7 244264
,,E-mail movitel@ip.etecsa.cu
Teléfonos Celulares de Cuba S.A. (CUBACEL),CUBCEL,Rafael Galindo Mier
Calle 28 #510 Miramar,,Tel +53 7 802222
LA HABANA 11300,,Fax +53 7 241737
,,E-mail cubacel@cubacel.com
