Country or area/ISO code,Company Code,Contact
Company Name/Address,(carrier code),
Czech Republic / CZE,,
Aliatel a.s.,ALI,Eva Ruzicková
Sokolovská 86,,Tel +420 2 2525 3191
18600 PRAGUE 8,,Fax +420 2 2525 3102
,,E-mail eva.ruzickova@aliatel.cz
"CE Com Czech, s.r.o",CECOM,Jaroslav Ondrus
Parizská 22,,Tel +420 267 198 153
11000 PRAHA 1,,Fax +420 267 198 147
,,E-mail jo@cecom.cz
Cesky Mobil a.s.,OSKAR,Vaclav Mach
Vinohradska 167,,Tel +420 2 7117 1458
100 000 PRAHA 10,,Fax +420 2 7117 1951
,,E-mail vaclav.mach@oskarmobil.cz
Cesky Telecom a.s.,CESTEL,Jindrich Trpisovsky
Olsanska 5,,Tel +420 2 7146 2262
130 34 PRAHA 3,,Fax +420 2 7146 9808
,,E-mail jindrich.trpisovsky@ct.cz
"Czech On Line, A.S.",VOLNET,Petr Kastner
"Burzovní Palác, Rybná 14",,Tel +420 2 9625 1102
11000 PRAHA,,Fax +420 2 9625 1113
,,E-mail petr@vol.cz
Dattel a.s.,DATTEL,Vaclav Dolinek
Hvezdova 1073/33,,Tel +420 2 9615 7678
140 00 PRAGUE 4,,Fax +420 2 9615 7677
,,E-mail vaclav.dolinek@dattel.cz
EuroTel Praha spol.s.r.o.,ETCZ,Jaroslav Kubista
Sokolovska 225/855,,Tel +420 2 6701 1114
PRAHA 9,,Fax +420 2 6701 1185
,,E-mail jaroslav.kubista@eurotel.cz
Factcom as,FTM,Josef Drizhal
Nám T.G. Masaryka 169,,Tel +420 42 540 0000
470 10 CESKA LIPA,,Fax +420 42 582 3990
,,E-mail factcom@telecom.cz
Globe Internet s.v.o.,GLINET,Jan Panoch
Plánickova 1,,Tel +420 2 3536 5000
16200 PRUHA 6,,Fax +420 2 3536 5009
,,E-mail panoch.jan@globe.cz
"Kabel Plus, a.s.",UPCCZT,Richard Z. Singer
Zavisova 5,,Tel +420 2 6110 7205
140 000 PRAGUE 4,,Fax +420 2 6110 7100
,,E-mail rich.singer@kabelplus.cz
,,
RadioMobil a.s.,PAEGAS,Martin Klocperk
Londynska 59,,Tel +420 2 2162 0420
120 21 PRAHA 2,,Fax +420 2 2162 0406
,,E-mail klocperkm@radiomobil.cz
Telecom21 spo sro,T21,Jaromir Kunát
Lipenská 38,,Tel +420 68 541 1221
37001 CESKE BUDEJOVICE,,Fax +420 68 541 1221
,,E-mail ijk@telecom.cz
