Country or area/ISO code,Company Code,Contact
Company Name/Address,(carrier code),
Denmark / DNK,,
ACN Denmark A/S,12572,Paul Gagnier
Maxeland 2,,Tel +31 20 346 3800
GLOSTRUP 3660,,Fax +31 20 346 3940
,,E-mail amslegal@acneuro.com
Aps Kbus 38 nr. 4418,TTRDK,Ib Holdgaard
Sydvestvej 15,,Tel +45 4348 8247
DK-2600 GLOSTRUP,,Fax +45 4348 8251
,,E-mail ib.holdgaard@motorola.com
CBB,CBB,Christian Engelsen
Dronningens Tvaergade 46,,Tel +45 3346 0130
DK-1302 KOEBENHAVN K,,Fax +45 3346 0129
,,E-mail cen@cbb.dk
Cybercity A/S,CYBER,Nicolai Redfern
Esplanaden 6-8,,Tel +45 3398 3077
DK-1263 KOEBENHAVN K,,Fax +45 3398 3070
,,E-mail redfern@cybercity.dk
FaciliCom International Denmark,FCI,Kirsten Christensen
"Copenhagen Europe Center, Vesterbrogade 149",,Tel +45 69 88 88 88
DK-1620 KOEBENHAVN V,,Fax +45 69 88 88 89
,,E-mail
Hi3G,HI3G,Torben L. Bjerre
Dampfaergevej 28,,Tel +45 3333 0135
DK-0900 KOEBENHAVN C,,Fax +45 3333 0155
,,E-mail torben.bjerre@hi3gdenmark.dk
Lebara ApS c/o Nebelong & Partners,LEBARA,Jorgen Jacobsen
Postbokd 1051,,Tel +45 3311 7522
1007 KOBENHAVN K,,Fax +45 3332 4775
,,E-mail jj@nebelong.dk
Migway A/S,MIGWAY,Thorkil Sonne
Norregade 21,,Tel +45 3343 7342
DK-0900 KOEBENHAVN V,,Fax +45 3399 8067
,,E-mail thorkil.sonne@migway.com
Mira Internet APS,MIRA,Mike Rasmussen
Strandvejen 17,,Tel +45 7010 8040
DK-7830 VINDERUP,,Fax +45 7010 8060
,,E-mail mr@mira.dk
Primus Telecommunications A/S,PRIMUS,Finn Magner
Vesterbrogade 149,,Tel +45 3327 0511
DK-1620 KOEBENHAVN,,Fax +45 3327 0515
,,E-mail fmagner@primustel.dk
,,
RSLCOM Danmark A/S,RSLDK,Hugo Nielsen
Sydestvez 102,,Tel +45 4323 1071
DK - 2600 GLOSTRUP,,Fax +45 4323 1000
,,E-mail hni@rslcom.dk
Starman Telecom Denmark,STARM,Bobby Elahi
Falkoner Allé 13,,Tel +45 3834 4848
DK-2000 FREDERIKSBERG,,Fax +45 3834 4850
,,E-mail
SuperTel,SUPDK,John Topp
Vesterbrogade 149,,Tel +45 3692 0050
DK-1620 KOEBENHAVN V,,Fax +45 3692 0001
,,E-mail john.topp@supertel.dk
TDC Kabel TV,TDCK,J. Michaelsen
Strandlodsvej 30,,Tel +45 3263 8180
DK- 0900 KOEBENHAVN S,,Fax +45 3263 8008
,,E-mail jmic@tdc.dk
TDC Solutions,TDC,Jesper Bjerre
Norregade 21,,Tel +45 4480 2661
DK-0900 KOEBENHAVN C,,Fax +45 4480 2668
,,E-mail jebj@tdc.dk
Tele Danmark A/S,TD,Joergen Harreby Thomsen
Spotorno Alle 12,,Tel +45 4334 3255
DK-2630 TAASTRUP,,Fax +45 4352 0941
,,E-mail jhat@tdk.dk
Tele1 Europe A/S,T1E,Dan Holmer Andersen
Vesterbrogade 149,,Tel +45 3690 3650
DK-1620 KOEBENHAVN,,Fax +45 3690 3691
,,E-mail dha@tele1europe.dk
Tele2 A/S,TELE2,Michael Jackson
Gammel Koge Landevej 55,,Tel +45 7730 1001
DK-2500 VALBY,,Fax +45 7730 1000
,,E-mail michael.jackson@tele2.dk
Telecomplus A/S,TPLUS,Benny Hansen
Sdr. Rinjvej 41 - 43,,Tel +45 6912 1242
DK - 2605 BRONDBY,,Fax +45 6912 1213
,,E-mail bh@telecomplus.dk
Teleglobe Danmark A/S,TGB,Charles A. Tievsky USA
Lautruphoj 1-3,,Tel +1 703 755 2430
DK-2750 BALLERUP COPENHAGEN,,Fax +1 703 755 2610
,,E-mail ctievsky@teleglobe.com
,,
Telenor,SONO,Steen Th. Pedersen
Fredrikskaj,,Tel +45 7212 7205
DK-1780 KOEBENHAVN,,Fax +45 7212 7224
,,E-mail stp@dmt.sonofon.dk
Telia Net,TELIA,Lise Fuh Hovind
Ejby Industrivej 135,,Tel +45 8831 5140
DK-2600 GLOSTRUP,,Fax +45 8831 5120
,,E-mail lfh@telia.dk
Telia Sonera,TSIC,Jesper Andersen
Sydvestvej 15,,Tel +45 8831 5868
DK-2600 GLOSTRUP,,Fax +45 8831 5438
,,E-mail jesper.andersen@teliasonera.com
Telia Stofa A/S,TESTO,Kaj Skov
Uraniavej 6,,Tel +45 8813 1414
DK-8700 HORSENS,,Fax +45 7564 2749
,,E-mail ks@stofa.dk
Tiscali A/S,TISC,Marcus Andersen
Lautrupsgade 9,,Tel +45 3814 7015
DK-2100 KOEBENHAVN O,,Fax +45 3814 7009
,,E-mail mandersen@dk.tiscali.com
WebPartner,WEB,Rasmus Helmich
Arhusgade 88,,Tel +45 3525 4770
DK-2100 KOEBENHAVN,,Fax +45 7026 2301
,,E-mail
