Country or area/ISO code,Company Code,Contact
Company Name/Address,(carrier code),
El Salvador (Republic of) / SLV,,
"Americatel El Salvador, S.A. de C.V.",AMETEL,Alvaro Alonso Garcia Leiva
"Calle Nueva No.1, Colonia Escalón",,Tel +503 2266 0104
SAN SALVADOR,,Fax +503 2266 0184
,,E-mail agarcia@americatel.com.sv
"Amnet Tel Y C, S En C de C.V.",AMNET,Guillermo Antonio Soto
"Parque Ind. El Boquerón, Blvd. Santa Elena",,Tel +503 2236 8043
"Antiguo Cuscatian, LA LIBERTAD",,Fax +503 2236 8124
,,E-mail fsoto@amnetsal.com
"CTE Telecom Personal, S.A. de C.V.",PERSON,Roberto Garay Sandoval
Final Calle el Progreso y Calle Liverpool,,Tel +503 2271 7031
"Colonia Roma, SAN SALVADOR",,Fax +503 2271 7066
,,E-mail garay.roberto@telecom.com.sv
"CTE, S.A. de C.V.",TELCOM,Roberto Garay Sandoval
Final Calle el Progreso y Calle Liverpool,,Tel +503 2271 7031
"Colonia Roma, SAN SALVADOR",,Fax +503 2271 7066
,,E-mail garay.roberto@telecom.com.sv
"Digicel, S.A. de C.V.",DIGCEL,Teresa de Barrientos
Boulevard Los Héroes,,Tel +503 2285 5111
SAN SALVADOR,,Fax +503 2285 5585
,,E-mail teresa.barrientos@.digicel.com.sv
"El Salvador Network, S.A. de C.V.",SALNET,Oscar Antonio Safie
Paseo General Escalón No6000,,Tel +503 2283 1000
SAN SALVADOR,,Fax +503 2283 1090
,,E-mail antonio.safie@salnet.net
"El Salvador Telecom, S.A. de C.V.",SALTEL,Lucas Cabanillas
"Calle Colima No 852, Colonia Miramonte",,Tel +503 2247 7156
SAN SALVADOR,,Fax +503 2247 7233
,,E-mail cabanillas@saltel.com
"Empresa Metapaneca de Telecomunicaciones,",EMETEL,Salvador Wilfredo Osorio
S.A. de C.V.,,
"2da Avenida Norte, Barrio San Pedro",,Tel +503 2400 0000
"METAPAN, SANTA ANA",,Fax +503 2400 0004
,,E-mail
Grupo Centroamericano de Telecomunicaciones,GCATEL,José Belarmino Jaime
S.A. de C.V.,,
"39 Avenida Sur 6a 10a, Col. Flor Blanca",,Tel +503 2230 5500
SAN SALVADOR,,Fax +503 2230 5585
,,E-mail bjaime@gcatelecom.com.sv
"Intelfon, S.A. de C.V.",INTFON,Edgard Eduardo Rodas
Roosevelt y 63a Avenida Sur,,Tel +503 2267 9600
SAN SALVADOR,,Fax +503 2245 5276
,,E-mail erodas@skytech.com.sv
El Salvador (Republic of) / SLV,,
"Newcom El Salvador, S.A. de C.V.",NEWCOM,Juan Antonio Coreas
"60 Av. Sur y Alameda Roosevelt, Torre B",,Tel +503 2252 8080
SAN SALVADOR,,Fax +503 2252 8082
,,E-mail jcoreas@newcomamericas.net
Superintendencia General de Electricidad y,SIGET,Jorge Isidoro Nieto Menéndez
Telecomunicaciones,,
Colonia Flor Blanca,,Tel +503 2257 4438
SAN SALVADOR,,Fax +503 2257 4499
,,E-mail jinietom@siget.gob.sv
"Telecomunicaciones de America, S.A. de C.V.",TEL140,Roberto Liach Hill
"Col. Avila, Pasaje 1 Case #3",,Tel +503 2245 1818
SAN SALVADOR,,Fax +503 2207 0237
,,E-mail roberto.liach@telecam.net
"Telefónica Móviles El Salvador, S.A. de C.V.",TES144,Mario Salvador Torres Rubio
Alameda Roosevelt y 63a Avenida Sur,,Tel +503 2257 4360
SAN SALVADOR,,Fax +503 2211 0739
,,E-mail mario.torres@telefonica.com.sv
"Telemóvil El Salvador, S.A.",TELMOV,Maximiliano Leiva
Alameda Roosevelt y 63a Avenida Sur,,Tel +503 2280 9001
SAN SALVADOR,,Fax +503 2280 9002
,,E-mail max@telemovil.com
