Country or area/ISO code,Company Code,Contact
Company Name/Address,(carrier code),
Gibraltar / GIB,,
"Broadband Gibraltar Ltd, Sapphire Networks",SAPNET,Jimmy Imossi
Suite 3.0.3 Eurotowers,,Tel +350 2004 7204
"PO Box 797, GIBRALTAR",,Fax +350 2004 7272
,,E-mail jimossi@sapphire.gi
Eazi Telecom Ltd (trading as “Limba”),EAZ629,Jessica Canepa
"Suite 48, Royal Ocean Plaza",,Tel +350 219 000 00
16 Glacis Road,,E-mail: jventura@limbatelecom.com
Gibraltar GX11 1AA,,
,,
Gibtelecom,GIBTEL,Dwayne Lara
15/21 John Mackintosh Square,,Tel +350 2005 2278
GIBRALTAR,,Fax +350 2007 1673
,,E-mail dwayne.lara@gibtele.com
