Country or area/ISO code,Company Code,Contact
Company Name/Address,(carrier code),
Japan / JPN,,
KDDI Corporation,KDDI,Yoshinori Shirakawa
2-3-2 Nishi-Shinjuku 2-Chome,,Tel: +81 3 3347 6565
"Shinjuku-ku, TOKYO 163-8003",,Fax: +81 3 3347 6243
,,E-mail: yshira@kddi.com
Nippon Telegraph and Telephone Corporation,NTT,Togashi
"1-1-6 Uchisaiwai-cho, Chiyoda-ku",,Tel: +81 3 6700 9008
TOKYO 100-8019,,Fax: +81 3 3539 2222
,,E-mail: kk-vv@ntt.com
Softbank Corp.,SB,Tamanari Okada
"1-9-1, Higashi-Shimbashi, Minato-ku",,Tel: +81 3 6889 1081
TOKYO 105-7317,,Fax: +81 3 6215 5561
,,E-mail: tamanari.okada@g.softbank.co.jp
