Country or area/ISO code,Company Code,Contact
Company Name/Address,(carrier code),
Kazakhstan (Republic of) / KAZ,,
CJSC Kazinformtelecom,KIT,Yuri Butuzov
130 Furmanov Street,,Tel +7 7272 608369
ALMATY 480091,,Fax +7 7272 542203
,,E-mail yubutuzov@kit.kz
CJSC Nursat,NURSAT,Yuri Butuzov
242 Furmanov Street,,Tel +7 7272 608369
ALMATY 480099,,Fax +7 7272 608120
,,E-mail alexand@nursat.net
Inkatel Ltd.,KINKAT,Alexey Glazunov
"76A, Mametova Street",,Tel +7 7272 508000
480004 ALMATY,,Fax +7 7272 508008
,,E-mail west.inkatel@asdc.kz
Jarykh Ltd.,KJARYK,Petrenko Boris
"76A, Mametova Street",,Tel +7 7272 508058
ALMATY 480004,,Fax +7 7272 508059
,,E-mail jaryk@asdc.kz
JSC Kazakhstan Telecommunications,KT01C,Chernov Alexey
"2, Timiryazev Street",,Tel +7 7272 581295
ALMATY 480000,,Fax +7 7272 503876
,,E-mail info@katelco.kz
JSC TNS-Plus,TNSPLS,Alex Kislitsyn
285 Rozybakieva Street,,Tel
480032 ALMATY,,Fax
,,E-mail akislitsyn@tnsplus.kz
Kar-Tel Ltd,KMOBIL,Fikret Yalniz
130 Furmanov Street,,Tel +7 7272 501616
ALMATY 480091,,Fax +7 7272 506055
,,E-mail fyalniz@kartel.kz
L.L.P. GSM Kazakhstan,KCL300,Kakha Kiladze
"Kcell Building 100, Samal 2",,Tel +7 7272 588281
480099 ALMATY,,Fax +7 7272 588281
,,E-mail kakha.kiladze@kcell.kz
New Tech Ltd.,NTECH,Vladimir Breussov
129 Panfilov Street,,Tel +7 7272 506075
ALMATY 480091,,Fax +7 7272 505506
,,E-mail vladbr@asdc.kz
Rahat-Telecom L.L.P.,RATELK,Askar Bishigaev
"164B, Shevchenko Street",,Tel +7 7272 500005
ALMATY 480008,,Fax +7 7272 500006
,,E-mail bishigaev@ratel.kz
,,
Sa Telecom L.L.P.,SATELC,Jakipbek Aidabekov
531 Sezfullin Avenue,,Tel +7 7272 587900
ALMATY 480091,,Fax +7 7272 587910
,,E-mail info@satelcom.kz
