Country or area/ISO code,Company Code,Contact
Company Name/Address,(carrier code),
Korea (Republic of) / KOR,,
Korea Telecom,KT,Jung-il Cho
"206 Chongja-dong, Pundang-gu",,Tel +82 342 727 2731
"SONGNAM CITY, KYONGGI-DO 463-711",,Fax +82 2 750 3830
,,E-mail choji@kt.co.kr
LG Uplus,DACOM,Jong-Sun Choi
"827 Namdaemoonro-5ga, Jung-gu",,Tel +82 2 1080 802238
SEOUL 100-095,,Fax +82 2 6920 1668
,,E-mail yskoo@lguplus.co.kr
Onse Telecom Corporation,ONSE,Tae-Sik Kim
"14F Miraewasaram Bldg , 942-1 Daechi-Dong",,Tel +82 2 528 5607
"Kangnam-ku, SEOUL 135-280",,Fax +82 2 528 5604
,,E-mail
