Country or area/ISO code,Company Code,Contact
Company Name/Address,(carrier code),
Madagascar (Republic of) / MDG,,
Gulfsat Téléphonie,GULFST,Cécile Hervé
41 Avenue Lénine Antanimena,,Tel +261 20 223 7012
101 ANTANANARIVO,,Fax +261 20 223 7009
,,E-mail info@gulfsat.mg
Orange Madagascar,ORANGE,Patrice Pezat
"Rue Dr. Raseta Joseph, BP 7754",,Tel +261 20 226 0953
"Andraharo, ANTANANARIVO 101",,Fax +261 20 226 0955
,,E-mail patrice.pezat@orange.mg
Telecom Malagasy,TELMA,Raharinjatovo Claude
"Alarobia, BP 763",,Tel +261 20 22 24803
ANTANANARIVO,,Fax +261 20 22 42354
,,E-mail
