Country or area/ISO code,Company Code,Contact
Company Name/Address,(carrier code),
Malaysia / MYS,,
,,
Altel Communications Sdn. Bhd.,ALTEL,Mr. Ismail Bin Haron
"E-11-08,No 2, Jalan PJU 1A/7A",,Tel: +60 3 7734 7199
Oasis Ara Damansara,,Fax: +60 3 7831 7888
"47301 Petaling Jaya, SELANGOR",,E-mail: ismail@altel.my
,,
Celcom Axiata Berhad,CELCOM,Mdm. Moriani Mohamed
"Level 15, Menara Celcom",,Tel: +60 3 2688 4640
"82, Jalan Raja Muda Abdul Aziz",,Fax: +60 3 2681 0350
50300 KUALA LUMPUR,,E-mail: moriani@celcom.com.my
,,
YTL Communications Sdn. Bhd.,YTL,Mr. Amarjit Singh
"Level 19, One Oriental Place",,Tel: +60 18 799 8888
"No. 1, Jalan Hang Lekiu",,Fax: +60 18 799 8828
59100 KUALA LUMPUR,,E-mail: amarjit.singh@ytlcomms.my
,,
Digi Telecommunications Sdn. Bhd.,DIGI,Mr. Foong Chee Kheong
"Lot 10, Jalan Delima 1/1",,Tel: +60 18 200 1108
Subang Hi-Tech Industrial Park,,Fax: +60 3 5721 6164
"40000 Shah Alam, SELANGOR",,E-mail: foongck@digi.com.my
,,
Maxis Berhad,MAXIS,Mr. Yap Chong Ping
"Level 21, Menara Maxis",,Tel: +60 3 2330 7693
Kuala Lumpur City Centre,,Fax: +60 3 2330 0513
50088 KUALA LUMPUR,,E-mail: cyap@maxis.com.my
,,
TIME dotCom Berhad,TIME,Mr. Abdulhadi Bin Wahid
(formerly known as TIME Telecommunications),,
"No. 14, Jalan Majistret U1/26",,Tel: +60 3 5039 3396
HICOM Glenmarie Industrial Park,,Fax: +60 3 5032 6401
"40150 Shah Alam, SELANGOR",,E-mail: abdulhadi.wahid@time.com.my
,,
Telekom Malaysia Berhad,TM,Mrs. Rose Aida Salleh
"Level 7, (South Wing)",,Tel: +60 3 2240 7002
"Menara TM, Jalan Pantai Baharu",,Fax: +60 3 7955 2078
50672 KUALA LUMPUR,,E-mail: roseaida@tm.com.my
,,
U Mobile Sdn. Bhd.,UM,Mr. Eric Liew Sze Yarn
Lot 11.01 (East Wing),,Tel: +60 3 2117 9888
"11th Floor, Berjaya Times Square",,Fax: +60 3 2141 6511
No. 1 Jalan Imbi,,E-mail: eric.liew@u.com.my
55100 KUALA LUMPUR,,
