Country or area/ISO code,Company Code,Contact
Company Name/Address,(carrier code),
Mexico / MEX,,
Alestra S. de R.I. De C.V.,ALESTA,Ing. Francisco Salas Elizondo
"Av Paseo de las Palmas, Col Lomas de Chapult.",,Tel +52 55 5201 5000
11000 MEXICO D.F.,,Fax +52 55 5201 5177
,,E-mail mpachect@alestra.com.mx
Avantel S.A.,AVANMX,Luis Gerardo Roman Palau
Col. Lomas de Memetla,,Tel +52 55 5814 4463
CP 05330 MEXICO D.F.,,Fax +52 55 5814 4020
,,E-mail luis.coman@avantel.com.mx
"Axtel, S.A. de C.V.",AXT555,Carlos J. Escalante González
Col. Residencial San Augustín Garza Garcia,,Tel +52 55 8114 0000
CP 66260 MEXICO,,Fax +52 55 8114 1771
,,E-mail cescalante@axtel.com.mx
"Comsat México, S.A. de C.V.",CMETEL,Dr. Alfonso Torres Roqueñi
"Av. Renato Leduc No.321, Col. Toriello Guerra",,Tel +52 55 5528 2100
CP 14050 MEXICO D.F.,,Fax +52 55 5528 2321
,,E-mail atorres@comsat.com.mx
"Marca tel., S.A. de C.V.",MARCA7,Lic. César Eduardo Santacruz
"Av. San Jerónimo Monterrey, Nuevo León",,Tel +52 55 8389 7714
MEXICO 64640,,Fax +52 55 8347 1444
,,E-mail csantacruz@marcatel.net
"Miditel, S.A. de C.V.",MIDTEL,Ing. Carlos Murray Campbell
"Col. Lomas de Chapultepec, CP 11000",,Tel +52 55 5201 4070
MEXICO D.F.,,Fax +52 55 5201 6429
,,E-mail cmurray@miditel.com.mx
Pegaso Comunicaciones y Sistemas S.A.,MSTAR,Vicente Seoane
"Paseo de los Tamarindos 400-4, Piso 24",,Tel +52 81 8177 3027
"Col. Bosques de las Lomas, MEXICO 6177",,Fax +52 55 5806 9080
,,E-mail vseoane@telefonicamoviles.com
"Protel, S.A. de C.V.",PROTEL,Ing. Mario G. Morales Brizuela
Col. Lomas de Chapultepec,,Tel +52 55 5283 2600
MEXICO D.F. 11000,,Fax +52 55 5282 1188
,,E-mail mmorales@protel.mail.com.mx
"RSLCom de México, S.A. de C.V.",RSLMEX,Ing. Fred Quiroga
Col Chapultepec Morales Polanco,,Tel +52 55 5279 4600
"MEXICO D.F., CP 11510",,Fax +52 55 5580 5723
,,E-mail adiaz@rslmex.com
Telecomunicaciones de México,TLCOMM,Carlos Mier/Teran Ordiales
"Lazaro Cardenas 567, Col. Narvarte",,Tel +52 55 5629 1166
0320 MEXICO DF,,Fax +52 55 5559 9812
,,E-mail
Teléfonos de México S.A. de C.V.,TELMEX,M en C Eduardo Gómez Chibli
"Parque Vía 198, Col. Cuauhtémoc",,Tel +52 55 5222 5117
06599 MEXICO DF,,Fax +52 55 5223 5506
,,E-mail egomez@telmex.net
"Teléfonos del Noroeste, S.A. de C.V.",TFNOR,Ing. Vicente Hernández
"Pio Pico 2101, Zona Centro",,Tel +52 666 633 2700
2200 TIJUANA B.C.,,Fax +52 666 681 3635
,,E-mail vihe@telnor.com
Telereunión S.A. de C.V.,TELREU,Oscar Garcia Mora
"Moras No430, Col. Del Valle",,Tel +52 55 5663 8724
CP 03100 MEXICO D.F.,,Fax +52 55 5663 8795
,,E-mail ogarcia@telscape.com.mx
Unión Telefónica Nacional S.A. de C.V.,UTN222,Lic. German Carmona
Col. San Miguel Chapultepec,,Tel +52 55 5271 1455
MEXICO D.F.,,Fax +52 55 5516 6574
,,E-mail uniten@compuserve.com.mx
