Country or area/ISO code,Company Code,Contact
Company Name/Address,(carrier code),
Netherlands (Kingdom of the) / NLD,,
Casema N.V.,CASEMA,P. Kleintjes
Brassersplein 2,,Tel +31 348 493109
2612 CT DELET,,Fax +31 348 493199
,,E-mail
Enertel N.V.,ENERTL,Bart van den Dries
PO Box 25226,,Tel +31 10 880 3720
3001 HE ROTTERDAM,,Fax +31 10 880 3799
,,E-mail
FaciliCom International Netherlands,FCI,Elisa Hau
"Worldwide Bldg, Bouwerij 44, 5th Flr.",,Tel +31 20 543 1900
1185 XX AMSTELVEEN,,Fax +31 20 543 1901
,,E-mail
KPN Telecom B.V.,TCOMNL,J.T.M. Van Wijk
PO Box 30150,,Tel +31 70 343 4976
2500 GD THE HAGUE,,Fax +31 70 343 4939
,,E-mail
