Country or area/ISO code,Company Code,Contact
Company Name/Address,(carrier code),
Singapore (Republic of) / SGP,,
MobileOne (Asia) Pte Ltd.,M1,Chan Sock Leng
10 International Business Park,,Tel +65 6895 1039
609928 SINGAPORE,,Fax +65 6899 3929
,,E-mail chansl@ml.com.sg
Singapore Telecommunications Ltd. (SingTel),ST,Ying Lai Chang
"31 Exeter Road, Comcentre #18-00",,Tel +65 6838 3213
00923 SINGAPORE,,Fax +65 6732 1044
,,E-mail
StarHub Pte Ltd.,STARHP,Cannice Lee Yan Ling
51 Cuppage Road 07-00,,Tel +65 6880 5721
SINGAPORE 229469,,Fax +65 6736 6048
,,E-mail cannicel@starhub.com.sg
