Country or area/ISO code,Company Code,Contact
Company Name/Address,(carrier code),
Slovenia (Republic of) / SVN,,
"Elektro Maribor Jauno Podjetje ZA, Distribucijo Eleutricne energije d.d.",EM2004,Miljutin Kocbek
Vetrinjska Ulica 2,,Tel +386 2 220 0000
SI-2000 MARIBOR,,Fax +386 2 252 2241
,,E-mail info@elektro-maribor.si
"Elektro.TK Projetje ZA, Telekomunikacjske Storitve d.o.o",ETK,
Cesta V. Mestni Log 88/A,,Tel +386 1 474 2850
SI-1000 LJUBLJANA,,Fax +386 1 474 2852
,,E-mail info@elektro-tk.si
"Elektro-Slovenija, d.o.o.",ELES,Ales Persin
Hajdrihova 2,,Tel +386 1 474 3530
SI-1000 LJUBLJANA,,Fax +386 1 474 3552
,,E-mail ales.persin@eles.si
EVJ Elektroprom d.o.o.,EVJ,
Loke 22,,Tel +386 3 567 1234
SI-1412 KISOVEC,,Fax +386 3 567 1488
,,E-mail bostjan@elekroprom.si
In.Life d.d.,INLIFE,Dejan Strbenk
Dunajska Cesta 22,,Tel +386 1 434 7066
SI-1511 LJUBLJANA,,Fax +386 1 474 4619
,,E-mail dejan.strbenk@inlife.si
Incotel d.o.o.,INCO01,
Novi TRG 1,,Tel +386 7 338 0250
SI-8000 NOVO MESTO,,Fax +386 7 337 7791
,,E-mail info@inco-tel.com
Medinet d.o.o.,AMISSI,
Trzaska Cesta 85,,Tel +386 2 320 6320
SI-2000 MARIBOR,,Fax +386 2 320 6325
,,E-mail damjan.ceric@amis.net
"Mobitel, telekomunikacijske storitive, d.d.",MBT,Ales Dolensek
Vilharjeva 23,,Tel +386 1 47 22 312
1537 LJUBLJANA,,Fax +386 1 47 22 810
,,E-mail ic@mobitel.si
Pantel d.o.o,PNTSLO,Istvan Kranitz
Neubergerjeva 30,,Tel +386 1 888 3696
SI-1000 LJUBLJANA,,Fax +386 1 888 3636
,,E-mail ikranitz@pantel.hu
Radiotelevizija Slovenija OE Oddajniki in Zveze,RTVSOZ,Dolenec Miran
Kolodvorska 2,,Tel +386 1 475 2721
SI-1550 LJUBLJANA,,Fax +386 1 475 2710
,,E-mail miran.dolenec@rtvslo.si
,,
SI.Mobil d.d.,SMB,Andrej Spik
Smartinska Cesta 134/B,,Tel +386 40 440 134
SI-1000 LJUBLJANA,,Fax +386 40 443 199
,,E-mail andrej.spik@simobil.si
"Telekom Slovenije, p.o.",TKSI,Roman Smidovnik
Cigaletova 15,,Tel +386 1 234 1216
SI-61000 LJUBLJANA,,Fax +386 1 234 1200
,,E-mail roman.smidovnik@telekom.si
Telius d.o.o.,TELIUS,Marko Kocila
Tivolska Cesta 50,,Tel +386 1 300 2401
SI-1000 LJUBLJANA,,Fax +386 1 433 0293
,,E-mail marko.kocila@lj-kabel.si
Triera KRS Rotovz d.d.,TRIERA,Ferdinand Valencak
Cankarjeva 6,,Tel +386 2 229 7208
SI-2000 MARIBOR,,Fax +386 2 229 7207
,,E-mail ferdo@triera.net
Tusmobil d.o.o,TUS,
Resljeva 16,,Tel +386 3 560 7900
SI - 3000 CELJE,,Fax +386 3 560 7903
,,E-mail ic@tusmobil.si
Voljatel Telekomunikacije d.d.,VLT,Inka Nose
Smartinska Cesta 106,,Tel +386 1 587 5800
SI-1000 LJUBLJANA,,Fax +386 1 587 5899
,,E-mail inka@voljatel.si
Zadruga Ljubljanski Kabel z.b.o,LK,Marko Kocila
Tivolska Cesta 50,,Tel +386 1 433 2217
SI-1000 LJUBLJANA,,Fax +386 1 433 0293
,,E-mail marko.kocila@lj-kabel.si
