Country or area/ISO code,Company Code,Contact
Company Name/Address,(carrier code),
Spain / ESP,,
American Telecom S.A.,AMTEL,Luis M. Alarcon
Calle Rio Bullaque 2,,Tel +34 9133 4 5900
E-28034 MADRID,,Fax +34 9133 4 5905
,,E-mail
"Aragón de Cable, S.A.",ABLE,Jaime Gros Bañeres
Aznar Molina 2,,Tel +34 9762 03020
50002 ZARAGOZA,,Fax +34 9767 60030
,,E-mail ecomin@aracable.es
"Broadnet Consorcio, S.A.",BNC,Roberto Pascual
1 San Rafael,,Tel +34 9133 43600
28108 ALCOBENDAS - MADRID,,Fax +34 9133 48198
,,E-mail
Cable i Televisió de Catalunya,MENTA,Jaume Salvat
World Trade Center Ed. Est 5 Planta,,Tel +34 9353 03106
08039 BARCELONA,,Fax +34 9353 03034
,,E-mail jsalvat@ctc.es
"CAC Telecom, S.A.",CAC,Philipe Portenart
"Serrano, 41-6 Planta",,Tel +34 9142 62356
E-28001 MADRID,,Fax +34 9142 63905
,,E-mail portenart@cactelecom.com
"Canal-4 Moron, S.L.",MORONF,Salvador García Vargas
32 Cuesta Portillo,,Tel +34 9558 51840
41530 MORON DE LA FRONTERA,,Fax +34 9548 52163
,,E-mail brother@arrakis.es
"Cartagena de Comunicaciones, S.A.",CARTAG,Juan Pedro Peña Piñón
38 Alfonso Gómez,,Tel +34 9126 70100
28037 MADRID,,Fax +34 9126 70115
,,E-mail jppena@trc.es
Catalana de Telecomunicaciones Societat,ALPI,Javier Jordan Parra
"Operadora de Xarxes, S.A.",,
102 Escuelas Pias,,Tel +34 9356 78003
08017 BARCELONA,,Fax +34 9356 78280
,,E-mail xjordan@al-pi.com
"Comunitel Global, S.A.",CMTL,Antonio Espiñeira Sanchez
44 Manoteras,,Tel +34 9129 63206
28050 MADRID,,Fax +34 9129 63310
,,E-mail espi@comunitel.es
"Crevisión, S.A.",CREVIL,Vicente Navarro
1 Santo Tomás,,Tel +34 9654 04634
03330 CREVILLENTE - ALCANTE,,Fax +34 9666 81502
,,E-mail info@crevision.es
