Country or area/ISO code,Company Code,Contact
Company Name/Address,(carrier code),
Sudan (Republic of the) / SDN,,
Bashair Telecom Co. Ltd.,SDNBTC,Ghassan Sawan
"Nr. 70, Block 19 Abdullah Altayeb Str.",,Tel +249 9 2290 2900
"P.O.Box 346111, Riyadh",KHARTOUM,Fax +249 12 324 0899
,,E-mail gsawan@areeba.com.sd
Canar Telecommunications Company Ltd.,CANAR,
"Al Sahafa/Madani Road Block 37, PO Box 8182 A",,Tel +249 12 340 1960
KHARTOUM,,Fax +249 12 340 1963
,,E-mail md@kanartel.sd
Sudan Telecom Company Ltd. (Sudatel),SUDATL,Almonier Taha Hass
"PO Box 11155, Sudatel Tower",,Tel +249 12 378 9504
KHARTOUM,,Fax +249 12 378 9505
,,E-mail monierth@sudatel.net
Sudanese Mobile Telephone Co. Ltd. - Mobitel Sudatel,24991,Ibrahim Ahmed Al Hassan
Arab Co. Livestock Development Bldg.,,Tel +249 12 379 0566
"P.O.Box 13658, KHARTOUM",,Fax +249 12 379 0578
,,E-mail i.alhassan@sdn-mobitel.com
