Country or area/ISO code,Company Code,Contact
Company Name/Address,(carrier code),
Ukraine / UKR,,
Ukrtelecom' Joint Stock Company,UKRTEL,Yuriy Kovalchuk
18 Sheychenko Blvd,,Tel +380 44 235 5328
KYIV 01030,,Fax +380 44 246 4421
,,E-mail kovalchuk@ukrtelecom.net
Dtagroup Closed Joint Stock Company,DATA,Maksym Smilyanets
"Incom Business Centre, 31/33 Smolenska Str.",,Tel +380 44 538 0008
KYIV 03005,,Fax +380 44 538 0007
,,E-mail tatyana.sira@datagroup.com.ua
Euro Transtelecom LLC Company,ETT,Volodymyr Shcherbak
5 Chapaiva Str.,,Tel +380 44 277 2022
KYIV 01030,,Fax +380 44 270 0976
,,E-mail vs@ett.com.ua
"Global Message Service Ukraine, Ltd Liability Company",GMSU,Natalie Tropinova
20-A V. Zhytomyrska Str. Of 11,,Tel +380 44 284 0302
KYIV 01025,,Fax +380 44 284 0309
,,E-mail n.tropinova@gmsu.com.au
Golden Telecom Ltd Liability Company,GTU,Kyryl Kozlov
19A Khreschantyk Str.,,Tel +380 44 490 0077
KYIV 01001,,Fax +380 44 490 0070
,,E-mail kyrylk@goldentele.com
Intellectual Communications LLC,IC,Yulla Semko
"45 Urytskoho Str., Business Center NEST",,Tel +380 44 230 8038
KYIV 03035,,Fax +380 44 230 8038
,,E-mail semko@ukrintell.com.ua
International Telecommunications Ltd,INTERU,Vasily Korsakov
66 Malaya Arnautskaya Str.,,Tel +380 48 743 1164
ODESSA 65007,,Fax +380 48 743 1167
,,E-mail vkorsakov@it.od.ua
Kviystar GSM Closed Joint Stock Compnay,KS,Anna Dudko
51 Chervonozoryanyi Avenue,,Tel +380 67 237 2457
KYIV 03110,,Fax +380 44 466 1070
,,E-mail anna.dudko@kyivstar.net
New Communications Ltd,NCOM,Yuriy Hrushchak
23 Lesi Ukrainki Avenue of 61,,Tel +380 44 247 4018
KYIV 01133,,Fax +380 44 569 5429
,,E-mail yh@i.com.ua
Sitel Ltd Liability Company,SITEL,Sergij Lukash
91/14 Gorkogo str. Of 147,,Tel +380 44 206 1906
KYIV 03150,,Fax +380 44 206 1974
,,E-mail sl@sitel.com.ua
,,
Technological Systems Closed Joint Stock Company,TSUA,Sergey Pershin
69 Geroiv Dnipra Str.,,Tel +380 44 235 2571
KYIV 04214,,Fax +380 44 537 2237
,,E-mail serge@tsua.net
"Telegroup-Ukraine, Branch Enterprise",TGU,Andrew Zhukov
29 Schorsa Str.,,Tel +380 44 230 8228
KYIV 01133,,Fax +380 44 238 6027
,,E-mail andre@telegroup.com.au
Telnet Ltd,TELNET,Oleksander Serbin
18 Rozkydailivs'ka Str. Of 54,,Tel +380 48 730 9999
ODESA 65020,,Fax +380 48 730 9111
,,E-mail comadmin@uptel.net
Trans World Communication Group Ltd,TWC,Aelita Ermolenko
"28/2 Grushevskogo Str., un. 43",,Tel +380 44 494 2995
KYIV 01021,,Fax +380 44 494 1161
,,E-mail org@twc.com.ua
"Ucomline, Joint Stock Company",UCOMLN,Elena Levitskaya
83-A Melnikova Str.,,Tel +380 44 568 5920
KYIV 04119,,Fax +380 44 238 2605
,,E-mail elevitskaya@ucomline.net
"Ukrainian Communications, Closed Joint Stock company",UCOM,Lyudmila Klikun
9 Leskova Str.,,Tel +380 44 536 1240
KYIV 01011,,Fax +380 44 537 3131
,,E-mail ucom_buh@optima.net.ua
"Ukrainian Mobile Communications, Closed Joint Stock",UMC,Olena Tarasova
Company,,
"15, Leipzigska Str.",,Tel +380 50 110 3905
KYIV 01015,,Fax +380 50 110 3896
,,E-mail otarasova@umc.com.ua
Ukrainian Newest Telecommunication Ltd,UNTC,Oleg Vashchenko
10A Lesya Ukrainka Blv.,,Tel +380 50 424 9791
KYIV 01133,,Fax +380 44 501 7880
,,E-mail office@untc.net
Ukrainian Radio Systems CJSC,URS,Andriy Manoryk
6 Tulchinska Str.,,Tel +380 44 501 0043
KYIV 04080,,Fax +380 68 200 0165
,,E-mail amanorik@buline.ua
Ukrcom Ltd,UKRCOM,Dmitry Zemtsov
15 S. Khokhlovykh Str.,,Tel +380 44 205 5500
KYIV 04119,,Fax +380 44 205 5599
,,E-mail dzem@ukr-com.net
,,
Ukrvincom Private Enterprise,VNCM,Victor Sabadash
75/2 Soborna Str.,,Tel +380 43 252 4573
VINNYTSIA 21050,,Fax +380 43 253 1580
,,E-mail info@ukrvincom.net
Universal Telecom Ltd Liability Company,UT,Nina Semenova
26 Lesi Ukrainki Avenue,,Tel +380 44 568 5313
KYIV 01133,,Fax +380 44 568 5313
,,E-mail unitel@unitel.net.ua
Velton Telecom Telecommunication Company LLC,VELTON,Alexandr Klyuchko
15 Mironositskaya Str.,,Tel +380 57 717 7700
KHARKIV 61002,,Fax +380 57 717 7722
,,E-mail telecom@velton.ua
Zahalni Meregi Company Ltd,ZMKO,Volodumyr Kiseljov
5 Naukova Str.,,Tel +380 44 205 3032
LVIV 79601,,Fax +380 44 287 1171
,,E-mail vk@voip.com.ua
