Country or area/ISO code,Company Code,Contact
Company Name/Address,(carrier code),
Viet Nam (Socialist Republic of) / VNM,,
Military Electronic and Telecommunications Company,VIETEL,Nguyen Huu Dang
1 Giang Van Minh Street,,Tel +84 4 3846 1450
HANOI,,Fax +84 4 3846 0486
,,E-mail vietel@hn.vnn.vn
Saigon Post and Telecommunication Service Corporation,SPT,Trinh Dinh Khuong
45 Le Duan Blvd. Dist 1,,Tel +84 8 3822 0119
HO CHI MINH CITY,,Fax +84 8 3822 0120
,,E-mail khuongtd@saigonnet.vn
Vietnam Posts and Telecommunications (VNPT),VNPT,Dang Dinh Lam
"18, Nguyen Dû Street",,Tel +84 4 3826 5948
HANOI,,Fax +84 4 3825 5851
,,E-mail ptnguyen@vol.vnn.vn
